trigram,chi-square
"('lesser', 'extent', 'hypoxanthine')",191971849592.1348
"('GH3', 'auxin-responsive', 'promoter')",191971849592.1348
"('COG1638', 'TRAP-type', 'C4-dicarboxylate')",191971849592.1348
"('41.60', 'pct', 'identical')",191971849592.1348
"('alignment', 'coverage', '89.6')",143979076986.9508
"('Anti-Sigma', 'Factor', 'A,3')",143979076986.9508
"('CRISPR-Cas', 'casABCDE-ygbT-ygbF', ""operon,2'-deoxycytidine"")",143979076986.9508
"('alignment', 'coverage', '35.0')",143979076986.9508
"('query', 'alignment', 'coverage')",143979076986.9508
"('subject', 'alignment', 'coverage')",143979076986.9508
"('helix_turn', '_helix', 'lactose')",143978887461.29388
"('called', 'quorum', 'sensing')",143978887461.29388
"('PARTITIONING', 'PROTEIN', 'PARB')",143978887461.29388
"('IS116', 'IS110', 'IS902')",143978887461.29388
"('CHROMOSOME', 'PARTITIONING', 'PROTEIN')",143978887461.29388
"('9632919', 'ref', 'NP_049948.1')",143978887461.29388
"('11280351', 'pir', 'D82035')",143978887461.29388
"('corrinoid', 'adenosyltransferase', 'BtuR/CobO/CobP')",143978887263.2008
"('responsive', 'A/B', 'Barrel')",143978887263.2008
"('Alginate', 'O-acetyltransferase', 'AlgI')",143978887262.9508
"('COG0494', 'NTP', 'pyrophosphohydrolases')",143978887262.9508
"('breast', 'cancer', 'carboxy-terminal')",115183109975.89319
"('Arsenical', 'Resistance', 'Operon')",115183109971.10806
"('passive', 'diffusion', 'pores')",115183109943.83214
"('COG2942', 'N-acyl-D-glucosamine', '2-epimerase')",115183109843.72849
"('energically', 'less', 'costly')",95985924983.60748
"('Single', 'strand-specific', 'metallo-endoribonuclease')",95985924980.64807
"('Coenzyme', 'F420', 'hydrogenase/dehydrogenase')",95985924977.07504
"('InterPro', 'IPR018631', 'IPR012547')",95985924971.42969
"('secG', 'null', 'mutation')",95985924971.42969
"('temperature-sensitive', 'fabA6', 'mutation')",95985924971.42969
"('edits', 'incorrectly', 'charged')",95985924957.80008
"('incorrectly', 'charged', 'Ser-tRNA')",95985924957.80008
"('type-B', 'carboxylesterase', 'lipase')",95985924888.20035
"('sialic', 'acid-specific', 'acetylesterase')",95985924888.20035
"('electrophilic', 'allylic', 'isomer')",95985924888.20035
"('InterPro', 'IPR003610', 'Carbohydrate-binding')",95985924888.20035
"('Initiation', 'Inhibitor', 'YjgF')",95985924888.20035
"('COG4845', 'Chloramphenicol', 'O-acetyltransferase')",95985924887.86702
"('Concanavalin', 'A-like', 'lectin/glucanases')",82273649986.26263
"('C-6', 'proR', 'hydrogen')",82273649976.76462
"('COG3210', 'Large', 'exoproteins')",82273649976.76462
"('flavoprotein', 'oxygenases', 'DIM6')",82273649966.64902
"('concerted', 'proteolytic', 'cascade')",82273649915.45332
"('Forms', 'passive', 'diffusion')",76788739969.52539
"('Bartonella', 'henselae', 'str')",71989443742.31534
"('DegT', 'DnrJ', 'EryC1')",71989443742.31534
"('49237922', 'emb', 'CAF27125.1')",71989443742.31534
"('COG0175', '3-phosphoadenosine', '5-phosphosulfate')",71989443740.1924
"('COG1294', 'Cytochrome', 'bd-type')",71989443738.18542
"('Cytochrome', 'bd-type', 'quinol')",71989443738.18542
"('sty2063', 'SWALL', 'Q8Z5Z8')",71989443733.88597
"('High', 'frequency', 'lysogenization')",71989443730.49168
"('causes', 'local', 'melting')",71989443730.49168
"('formed', 'A-site-bound', 'peptidyl-tRNA')",71989443722.66876
"('polyadenylation-dependent', 'snoRNA', ""3'-end"")",71989443683.4252
"('xf0485', 'SWALL', 'Q9PG17')",71989443683.4252
"('Mlr8012', 'SWALL', 'Q984G8')",71989443683.4252
"('Ecs3508', 'SWALL', 'Q8X976')",71989443683.4252
"('Stress', 'responsive', 'A/B')",71989443683.05019
"('3-phosphoadenosine', '5-phosphosulfate', 'sulfotransferase')",63990616658.053246
"('locked', 'ternary', 'complexes')",63990616658.053246
"('PDZ', 'DHR', 'GLGF')",63990616652.66296
"('correctly', 'charged', 'Asn-tRNA')",63990616652.218506
"('COG0735', 'Fe2', 'Zn2')",63990616643.651886
"('NDH-1', 'shuttles', 'electrons')",63990616643.651886
"('Selenium-dependent', 'molybdenum', 'hydroxylase')",63990616643.651886
"('COG3712', 'Fe2', '-dicitrate')",63990616612.60757
"('V-ATPase', '116', 'kDa')",57591554985.31469
"('Sulfite', 'exporter', 'TauE/SafE')",57591554955.032135
"('M42', 'glutamyl', 'aminopeptidase')",57591554955.032135
"('COG0508', 'Pyruvate', '2-oxoglutarate')",57591554954.632126
"('UniRef', 'RepID', 'VPD_BP186')",56880557513.01308
"('root', 'UniRef', 'RepID')",56880557513.01308
"('phiEco32-like', 'COOH.NH2', 'ligase-type')",52355959090.86453
"('Pilin', 'isopeptide', 'linkage')",47992962493.69662
"('2-C-methyl-', 'D-erythritol', '4-phosphate')",47992962489.97707
"('Hemerythrin', 'HHE', 'cation')",47992962467.13342
"('Inhibits', 'RpoS', 'proteolysis')",47992962466.71675
"('Translation', 'Initiation', 'Inhibitor')",47992962466.71675
"('cobalamin', 'Fe3', '-siderophores')",47992962466.63343
"('Xylose', 'isomerase-like', 'TIM')",47120363178.27139
"('S24', 'S26A', 'S26B')",44301196148.06103
"('VII', 'ESX', 'diderm')",44301196140.0935
"('heavy', 'metal', 'translocating')",44301196125.14328
"('methylation-dependent', 'chromatin', 'silencing')",43629965907.30969
"('COG0671', 'Membrane-associated', 'phospholipid')",41136879198.870926
"('past', 'template-encoded', 'arresting')",41136824994.654655
"('Nitrilase', 'cyanide', 'hydratase')",41136824991.58522
"('HIGH', 'Nucleotidyl', 'Transferase')",41136824987.555115
"('weight', 'hydrophilic', 'materials')",41136824987.555115
"('Escherichia', 'coli', 'O157')",40609434673.99845
"('hydrolyzes', 'mischarged', 'Thr-tRNA')",38763546629.19334
"('Resistance', 'Operon', 'Repressor')",38394369991.678635
"('unsaturated', 'chondroitin', 'disaccharide')",38394369988.64801
"('unsubstituted', 'N-termini', 'provided')",38394369988.64801
"('THF-', 'independent', 'aldolase')",35994721873.68298
"('regulate', 'differing', 'processes')",35994721867.752716
"('HpcH', 'HpaI', 'aldolase')",35994721866.6854
"('5-phospho-alpha-', 'D-ribose', '1-diphosphate')",35994721865.747894
"('COG0317', 'Guanosine', 'polyphosphate')",35994721854.6688
"('1.45', 'SWALL', 'Q9T140')",35994721854.2313
"('COG0175', ""3'-phosphoadenosine"", ""5'-phosphosulfate"")",35994721854.2313
"('RnlB', 'causes', 'generalized')",35994721854.2313
"('2-C-methyl-D-erythritol', '2,4-', 'cyclodiphosphate')",33877385287.34151
"("",3'-phosphoadenosine"", ""5'-phosphosulfate"", 'sulfotransferase')",31995350476.596333
"(""3'-phosphoadenosine"", ""5'-phosphosulfate"", 'sulfotransferase')",31995350476.596333
"('K00817', 'histidinol-phosphate', 'aminotransferase')",31995308316.54077
"('NADP', 'octopine', 'nopaline')",30311344732.970367
"('succinic', 'semialdehyde-thiamine', 'pyrophosphate')",30311344721.4438
"('COG5295', 'Autotransporter', 'adhesin')",29995601560.795425
"('energy-', 'requiring', 'processes')",29450226985.870167
"('Lysine', 'exporter', 'LysO')",28795815429.758026
"('TolB-like', '6-blade', 'propeller-like')",28795777514.0298
"('COG0028', 'Thiamine', 'pyrophosphate-requiring')",28795777498.967075
"('Chain', 'length', 'determinant')",28795777492.17701
"('normally', 'produced', 'within')",28795777491.37701
"('COG4464', 'Capsular', 'polysaccharide')",28795777485.808033
"('bladder', 'epithelial', 'cells')",28795777485.808033
"('COG0642', 'Signal', 'transduction')",28795777485.20804
"(""2'-"", 'deoxyribonucleoside', ""5'-monophosphates"")",26943426429.42223
"('synthesize', 'anthranilate', 'directly')",26580717685.522636
"('With', 'LigD', 'forms')",26445101778.294357
"('short-chain', 'dehydrogenases', 'reductases')",25596246659.339863
"('flagellar', 'basal', 'body')",23996576100.366684
"('COG0790', 'FOG', 'TPR')",23996544484.01874
"('COG0457', 'FOG', 'TPR')",23996544484.01874
"('Aerobic-type', 'carbon', 'monoxide')",23996481246.96579
"('rapidly', 'metabolisable', 'carbon')",23996481244.776844
"('known', 'phosphorylases', 'share')",23996481242.935425
"('COG5263', 'FOG', 'Glucan-binding')",23996481238.866688
"('Base', 'plate', 'wedge')",23996481238.74169
"('Glu', 'Leu', 'Phe')",23036621998.41445
"('base-free', 'deoxyribose', '5-phosphate')",22853791661.69581
"('SecYEG', 'preprotein', 'conducting')",22150598096.377533
"('Then', 'UvrB', 'probes')",22150598072.14713
"('Mitochondrial', 'biogenesis', 'AIM24')",22150598071.27338
"('releases', ""5'-nucleoside"", 'monophosphates')",21330205557.38047
"('osmotic', 'pressure', 'changes')",21330205551.892075
"('Activating', 'signal', 'cointegrator')",21330205546.635403
"('KOG2845', 'Activating', 'signal')",21330205546.635403
"('subtilisin', 'kexin', 'sedolisin')",21330205545.598373
"('clustered', 'regularly', 'interspaced')",20568412523.745632
"('Leu', 'Phe', 'Val')",20568412498.590595
"('bd-type', 'quinol', 'oxidase')",20568412496.91817
"('multicopper', 'oxidase', 'YfiH')",20568412491.55512
"('oxidase', 'YfiH', 'RL5')",20568412491.55512
"('Orn', 'Lys', 'Arg')",19197311474.54801
"('FKBP-type', 'peptidyl-prolyl', 'cis-trans')",19197210288.014675
"('proteases', 'finish', 'degrading')",19197184991.781357
"('trans-translation', 'Ala-', 'aminoacylated')",19044826405.418
"(""-3',8-cyclo-7,8-"", 'dihydroguanosine', ""5'-triphosphate"")",17997360934.078793
"('SnoaL-like', 'polyketide', 'cyclase')",17997360933.70259
"('Bacillus/Clostridium', 'GerA', 'spore')",17997360930.573452
"('Guanosine', 'polyphosphate', 'pyrophosphohydrolases')",17997360930.10471
"('read', 'codons', 'beginning')",16938692656.523043
"('overlaps', 'another', 'CDS')",16497580869.252308
"('Prokaryotic', 'dksA/traR', 'C4-type')",16454730013.052729
"('Plasmid', 'pRiA4b', 'ORF-3-like')",15997654163.64558
"('contacts', 'several', 'helices')",15997654162.531036
"('2-deoxy-', 'D-ribose', '5-phosphate')",15997654162.07675
"('COG0079', 'Histidinol-phosphate', 'aromatic')",15997654161.943531
"('Chlamydia-phage', 'Chp2', 'scaffold')",15997654160.829634
"('During', 'trans-translation', 'Ala-')",15870688670.427185
"('methylideneamino', 'imidazole-4-carboxamide', 'isomerase')",15565285132.199911
"('6-phosphogluconolactonase', 'Glucosamine-6-phosphate', 'isomerase')",15565285131.892952
"('COG1651', 'Protein-disulfide', 'isomerase')",15565285129.523167
"('dominant', 'negative', 'ftsH')",15565285129.523167
"('slime', 'layer', 'organization')",15565285129.523167
"('previously', 'reported', 'sequences')",15155672365.271093
"('2-methyl-4-amino-5-hydroxymethyl', 'pyrimidine', 'pyrophosphate')",15155672364.013365
"('Converts', '2C-methyl-D-erythritol', '2,4-cyclodiphosphate')",15155672362.545166
"('CDP-alcohol', 'phosphatidyltransferase', 'class-I')",15056700007.07401
"('glycerophosphoryl', 'diester', 'phosphodiesterase')",14543383291.218365
"('COG0346', 'Lactoylglutathione', 'lyase')",14397888746.606749
"('dipeptide', 'oligopeptide', 'nickel')",14397888745.144657
"('SMART', 'Hedgehog', 'intein')",14397888744.977009
"('candidate', 'rhamnogalacturonan', 'lyase')",14397888744.977009
"('degraded', 'pectin', 'products')",14397888744.302029
"('chemotaxis', 'sensory', 'transducer')",14278897929.343723
"('unfolded', 'polypeptides', 'generated')",14150259232.430712
"('Subsequently', 'Cas9', 'crRNA')",14046720729.959688
"('positive', 'net', 'charge')",13712274997.172024
"('Gln', 'Arg', 'opine')",13712274994.691181
"('Streptococcus', 'thermophilus', 'bacteriophage')",13393384881.213451
"('thermophilus', 'bacteriophage', 'Sfi19')",13393384881.213451
"('L,50S', 'ribosome-binding', 'GTPase')",13393384879.182919
"('allylic', 'pyrophosphates', 'generating')",13331378469.257576
"('Glutamine', 'amidotransferases', 'class-II')",13290358842.357584
"('Formamidopyrimidine-DNA', 'glycosylase', 'H2TH')",12798123329.073189
"('preprotein', 'conducting', 'channel')",12519903271.867128
"('Disulphide', 'bond', 'corrector')",12519903258.304085
"('gated', 'chloride', 'channel')",12519903256.73687
"('Phe', 'Val', 'dehydrogenases')",12341047496.723942
"('_helix', 'lactose', 'operon')",12253522338.14018
"('F-type', 'ATPases', 'consist')",12253522337.91826
"('Homoprotocatechuate', 'degradative', 'operon')",12253522336.413403
"('acrEF', 'envCD', 'operon')",12253522336.413403
"('COG1168', 'Bifunctional', 'PLP-dependent')",11998248526.577593
"('corresponding', 'ketose', 'L-fuculose')",11998240623.23081
"('COG1951', 'Tartrate', 'dehydratase')",11998240621.102087
"('probably', 'causes', 'local')",11998240620.985899
"('deoxyuridine', ""5'-triphosphate"", 'nucleotidohydrolase')",11881083648.532658
"('Enterobacterial', 'exodeoxyribonuclease', 'VIII')",11877046271.823822
"('proton', 'motive', 'force')",11753378571.026924
"('TolQ', 'ExbB', 'proton')",11753378568.736275
"('Spermidine', 'putrescine-binding', 'periplasmic')",11753378567.638987
"('lyzozyme', 'M1,6-pyruvoyl', 'tetrahydropterin')",11753378566.904325
"('RNA-DNA', 'hybrid', 'ribonuclease')",11641594702.357618
"('Glycerophosphoryl', 'diester', 'phosphodiesterase')",11634753392.026438
"('resulting', 'succinic', 'semialdehyde-thiamine')",11292461761.116959
"('Response', 'regulators', 'consisting')",11187998663.891518
"('abortive', 'infection', 'AbiH')",11146834194.880224
"('high', 'salt', 'concentrations')",11075299038.18662
"('Degrades', 'polypeptides', 'processively')",10809225785.01703
"('carbon', 'catabolite', 'repression')",10798416558.564182
"('yield', '2-succinyl-5-enolpyruvyl-6-hydroxy-3-', 'cyclohexene-1-carboxylate')",10665102774.455145
"('Glycopeptide', 'antibiotics', 'resistance')",10665102774.455145
"('Glyoxalase/Bleomycin', 'resistance', 'protein/Dioxygenase')",10665102774.455145
"('pressure', 'changes', 'within')",10665102773.954493
"('NUBPL', 'iron-transfer', 'P-loop')",10471191815.81679
"('iron-transfer', 'P-loop', 'NTPase')",10471191815.81679
"('one-codon', 'backward', 'translocation')",10471191815.81679
"('manganese', 'efflux', 'pump')",10417084973.398962
"('spindle', 'dynamics', 'together')",10284206263.94534
"('hydrolyzing', 'O-glycosyl', 'compounds')",10284206248.094595
"('D-glycero-beta-D-', 'manno-heptose', '1-phosphate')",10284206246.835213
"('metabolisable', 'carbon', 'sources')",10284206246.418226
"('COG0476', 'Dinucleotide-utilizing', 'enzymes')",10262646867.672289
"('COG0745', 'Response', 'regulators')",10122477788.513092
"('ABC-type', 'nitrate', 'sulfonate')",9929578446.269749
"('LacY', 'proton/sugar', 'symporter')",9761280505.521751
"('different', 'sources', 'differ')",9679252937.74902
"('misaligned', 'primer', 'ends')",9598592507.54835
"('yielding', 'ADP-D-glycero-beta-D-manno-', 'heptose')",9598592497.112
"('newly', 'formed', 'A-site-bound')",9598592496.553053
"('TonB-dependent', 'Receptor', 'Plug')",9572003596.894213
"('internal', 'open', 'reading')",9522418082.061926
"('Ala-', 'aminoacylated', 'tmRNA')",9522413201.784021
"('mammalian', 'host', 'mucosal')",9441238522.845911
"('Histone', 'acetyltransferase', 'HPA2')",9441238522.845911
"('COG0454', 'Histone', 'acetyltransferase')",9441238522.845911
"('malonyl', 'coa-acyl', 'carrier')",9441238521.764366
"('isomerase-like', 'TIM', 'barrel')",9424078154.098003
"('Overexpression', 'increases', 'levels')",9389927442.130339
"('COG0526', 'Thiol-disulfide', 'isomerase')",9339171078.097694
"('GDSL-like', 'Lipase', 'Acylhydrolase')",9288960481.104893
"('Scavenger', 'mRNA', 'decapping')",9288960481.104893
"('Targets', 'cyaA', 'mRNA')",9288960481.104893
"('thereby', 'influencing', 'cAMP-dependent')",9141516663.426046
"('Synthesizes', 'alpha-1,4-glucan', 'chains')",8998779278.790174
"('calmodulin-responsive', 'adenylate', 'cyclase')",8998680465.61213
"('casABCDE-ygbT-ygbF', ""operon,2'-deoxycytidine"", ""5'-triphosphate"")",8998680465.61213
"('hydrophilic', 'materials', 'across')",8860239228.803736
"('Phosphate', 'acetyl', 'butaryl')",8801367211.898376
"('CobB', 'MinD', 'ParA')",8725993244.035526
"('CobQ', 'CobB', 'MinD')",8725993244.035526
"('COG3291', 'FOG', 'PKD')",8570171871.176004
"('preformed', 'base', 'xanthine')",8511067238.136304
"('pyrophosphate-requiring', 'enzymes', 'acetolactate')",8358716253.287509
"('Prevents', 'heat-shock', 'induction')",8227364997.151695
"('generate', '2-deoxy-', 'D-ribose')",8227364996.981965
"('Signal', 'transducing', 'histidine')",7998832350.110868
"('regulated', 'intramembrane', 'proteolysis')",7998827080.290794
"('pir', 'D82035', 'ParB')",7782642566.1378
"('Conserved', 'Open', 'Reading')",7678873998.467806
"('N5-', 'carboxyaminoimidazole', 'ribonucleotide')",7678873998.319248
"('semialdehyde-thiamine', 'pyrophosphate', 'anion')",7577836181.37318
"('Circularly', 'permuted', 'GTPase')",7533826429.057711
"('spontaneously', 'undergoes', 'cyclization')",7479422723.911954
"('RHS', 'repeat-associated', 'core')",7224747040.741973
"('COG0839', 'NADH', 'ubiquinone')",7198944372.256809
"('UniRef', 'RepID', 'Y329_HAEIN')",7110668135.914225
"('Gammaproteobacteria', 'UniRef', 'RepID')",7110668135.914225
"('Back-', 'translocation', 'proceeds')",6980794543.296365
"('Broad', 'specificity', 'carboxypetidase')",6938741564.361912
"('TsaD', 'likely', 'plays')",6903097344.250483
"('stress-induced', 'mitochondrial', 'fusion')",6890796314.410924
"('FtsK', 'SpoIIIE', 'SftA')",6852258007.727629
"('negatively', 'supercoils', 'closed')",6722359257.80362
"('PA0796', 'bacteriophage', 'similarities')",6696692439.551568
"('bacteriophage', 'similarities', 'Found')",6696692439.551568
"('Theta', 'Gene', 'description')",6692896364.685876
"('preferentially', 'attacks', 'modified')",6665689231.26693
"('Copper', 'amine', 'oxidase')",6664166728.433078
"('L-amino', 'acids', 'rather')",6619718963.72271
"('rejects', 'L-amino', 'acids')",6619718963.72271
"('ABC-type', 'Fe3', '-hydroxamate')",6619718963.4421835
"('SusD', 'family,3-deoxy-D-manno-octulosonate', '8-phosphate')",6619718963.079078
"('COGs', 'COG0641', 'Arylsulfatase')",6544494883.87857
"('COG4823', 'Abortive', 'infection')",6399070095.5349655
"('family,2-oxoacid', 'dehydrogenases', 'acyltransferase')",6399061663.834991
"('synthesizes', 'adenosylcobalamin', ""5'-phosphate"")",6399061663.674457
"('COG5546', 'Small', 'integral')",6357509314.6917095
"('nucleobase-containing', 'compound', 'metabolic')",6302769352.989689
"('developmental', 'changes', 'induced')",6273589865.365635
"('Negative', 'supercoiling', 'favors')",6198609178.189156
"('either', 'pyridoxine', ""5'-"")",6170523746.261329
"('sfmACDHF', 'fimbrial', 'operon')",6126761168.092741
"('Flagellar', 'hook-basal', 'body')",6126761167.938116
"('glycerol-3-phosphate', 'responsive', 'antiterminator')",5999120309.567213
"('four', 'ribonucleoside', 'triphosphates')",5914362533.376584
"('IscA', 'acts', 'catalytically')",5876689284.164846
"('COG1734', 'DnaK', 'suppressor')",5876689283.675081
"('Iron-only', 'hydrogenase', 'maturation')",5817328785.38013
"('hydrogenase', 'maturation', 'rSAM')",5817328785.38013
"('supercoils', 'closed', 'circular')",5774335488.328425
"('SRP', 'receptor', 'FtsY')",5759155497.627153
"('Endoplasmic', 'reticulum-Golgi', 'intermediate')",5702134156.92238
"('reticulum-Golgi', 'intermediate', 'compartment')",5702134156.92238
"('sn-', 'glycerol', '3-phosphate')",5646230879.180419
"('central', 'metabolite', 'phospho-alpha-D-ribosyl-1-pyrophosphate')",5573376294.308606
"('Methyl-accepting', 'chemotaxis-like', 'domains')",5537649517.417856
"('Macrophage', 'migration', 'inhibitory')",5537649517.086847
"('Thiamine', 'pyrophosphate-requiring', 'enzymes')",5433165561.798898
"('use', 'ribulose', '5-phosphate')",5332572466.447135
"('K02056', 'simple', 'sugar')",5332551387.752978
"('improperly', 'translocated', 'ribosomes')",5235595907.013345
"('Also', 'edits', 'incorrectly')",5188428377.275039
"('Probably', 'redox-', 'responsive')",5142103122.9428835
"('regularly', 'interspaced', 'short')",5096597793.494723
"('fully', 'efficient', 'folding')",5053663999.232237
"('inhibiting', 'FtsZ', 'polymerization')",4964795763.175942
"('Pyridine', 'nucleotide-disulphide', 'oxidoreductase')",4964789223.234574
"('LDH2', 'MDH2', 'oxidoreductase')",4964789223.084925
"('O-acetylhomoserine', 'aminocarboxypropyltransferase', 'cysteine')",4964789223.084925
"('Multi-copper', 'polyphenol', 'oxidoreductase')",4964789222.874196
"('polyphenol', 'oxidoreductase', 'laccase')",4964789222.874196
"('proton-translocating', 'NADH-quinone', 'oxidoreductase')",4964789222.874196
"('molecular', 'motor', 'driving')",4953402092.991767
"('glutathione-regulated', 'potassium', 'exporter')",4799296247.961438
"('Collagen', 'triple', 'helix')",4786443828.214617
"('COG2131', 'Deoxycytidylate', 'deaminase')",4759632643.621045
"('phosphoenolpyruvate-dependent', 'sugar', 'phosphotransferase')",4740045879.561366
"('contains', 'distinct', 'active')",4730960180.756801
"('pyrophosphates', 'generating', 'different')",4705192398.144947
"('pre-assembled', 'RecBC', 'greatly')",4682240365.954884
"('COG3344', 'Retron-type', 'reverse')",4682240325.8785305
"('Sm-like', 'SH3', 'beta-barrel')",4653982089.200681
"('ATP-driven', 'molecular', 'motor')",4643814461.312702
"('deoxycytidylate', 'deaminase', 'zinc-binding')",4610894252.353142
"('pfam', 'nlp', 'p60')",4570758331.378489
"('ferredoxin-dependent', 'oxidative', 'decarboxylation')",4516984703.400151
"('Processes', 'pre-', 'crRNA')",4515017373.381208
"('lack', 'stem', 'peptides')",4511645473.324124
"('deoxyuridine', '5-triphosphate', 'nucleotidohydrolase')",4499841221.476699
"('RecBC', 'greatly', 'stimulates')",4362996704.638419
"('invertase', 'Pin', 'homologs')",4359621118.187146
"('long', ""3'-ssDNA"", 'overhang')",4330192218.137228
"('COG0462', 'Phosphoribosylpyrophosphate', 'synthetase')",4330192104.415243
"('Beta-glucanase', 'Beta-glucan', 'synthetase')",4330192104.188435
"('phosphorelay', 'signal', 'transduction')",4266091699.6402063
"('pyridine', 'nucleotide-disulfide', 'oxidoreductase')",4255533619.2584734
"('factors', 'RF1', 'PrfA')",4234673160.874282
"('interspaced', 'short', 'palindromic')",4197198179.160736
"('COG0577', 'ABC-type', 'antimicrobial')",4137341793.6180243
"('toward', 'beta-hydroxyamino', 'acids')",4137324349.9910626
"('sequential', 'NAD-dependent', 'oxidations')",4133365188.3975387
"('Lysozyme', 'inhibitor', 'LprI')",4084507446.0098195
"('nicotinamide', 'riboside', 'transmembrane')",4084507445.1523924
"('Circularly', 'permuted', 'ATP-grasp')",3999840422.0414867
"('open', 'reading', 'frame')",3981638366.905381
"('BPG-', 'dependent', 'PGAM')",3891321282.8350616
"('crossover', 'hotspot', 'instigator')",3865205134.308271
"('Metal', 'dependent', 'phosphohydrolases')",3825366706.7086067
"('oxide', 'mineral', 'core')",3715584191.610772
"('CP-933X', 'Escherichia', 'coli')",3692354973.1008744
"('Cas9', 'crRNA', 'tracrRNA')",3641742407.179238
"('crRNA', 'tracrRNA', 'endonucleolytically')",3641742407.179238
"('undergoes', 'passage', 'around')",3608493417.9941406
"('Prolipoprotein', 'diacylglyceryl', 'transferase')",3599472186.748855
"('Galactose-1-phosphate', 'uridyl', 'transferase')",3599472186.6329365
"('acyl-CoA', 'transferases', 'carnitine')",3599472185.3517556
"('cyclic', 'pyranopterin', 'monophosphate')",3577115215.7106905
"('multiple', 'antibiotic', 'resistance')",3555034256.677535
"('Heavy', 'metal', 'sensor')",3544095690.0119176
"('Sugar', 'fermentation', 'stimulation')",3490397270.508527
"('Parallel', 'beta-helix', 'repeats')",3490397269.6074476
"('COG1961', 'Site-specific', 'recombinases')",3440690827.697954
"('Orn', 'DAP', 'Arg')",3428195235.0433745
"('influencing', 'cAMP-dependent', 'processes')",3428068747.703024
"('formate', 'C-acetyltransferase', 'glycine')",3428068747.5466685
"('generate', 'ADP-', 'ribose')",3417520836.9898877
"('COGs', 'COG0389', 'Nucleotidyltransferase')",3414519068.2284894
"('cryptic', 'P4-like', 'prophage')",3387738528.7065973
"('defective', 'prophage', 'CPS53')",3387738528.7065973
"('prophage', 'CP-933O', 'K01146')",3387738528.6028776
"('SigmaW', 'regulon', 'antibacterial')",3367927192.1789684
"('pho', 'regulon', 'K07657')",3367927192.1789684
"('guanosine', 'tetraphosphate', 'metabolic')",3348346219.399631
"('tracrRNA', 'endonucleolytically', 'cleaves')",3318031970.524948
"('growing', 'alpha-1,4-glucan', 'chains')",3260427043.354279
"('heterocyclic', 'radical-mediated', 'conversion')",3253760182.382725
"('Conjugative', 'transposon', 'TraK')",3247656913.3134108
"('rate-', 'limiting', 'step')",3235480617.5820737
"('class-I', 'pyridine', 'nucleotide-disulfide')",3226706753.553921
"('yielding', 'nucleioside', ""5'-phosphates"")",3199530831.9199505
"('releasing', ""5'-"", 'phosphomononucleotides')",3199530831.7255745
"('cation', 'diffusion', 'facilitator')",3199530829.5443473
"('Might', 'take', 'part')",3181853866.650138
