quadgram,chi-square
"('COG1974', 'SOS-response', 'transcriptional', 'repressors')",1713920144135653.2
"('osmotic', 'pressure', 'changes', 'within')",1618729053977461.8
"('11280351', 'pir', 'D82035', 'ParB')",1476542987267636.2
"('Guanosine', 'polyphosphate', 'pyrophosphohydrolases', 'synthetases')",1365784869701942.2
"('Leu', 'Phe', 'Val', 'dehydrogenases')",1040612074799386.8
"('phosphomethylpyrimidine', 'kinase', 'K00877', 'K00941')",797543142054005.1
"('Acyl-coenzyme', 'A:6-aminopenicillanic', 'acid', 'acyl-transferase')",764080049123125.0
"('Xylose', 'isomerase-like', 'TIM', 'barrel')",715184327419265.6
"('SNF-related', 'matrix-associated', 'actin-dependent', 'regulator')",695945996629236.2
"('COG0079', 'Histidinol-phosphate', 'aromatic', 'aminotransferase')",674469738596026.5
"('Also', 'edits', 'incorrectly', 'charged')",656240856648472.9
"('ABC-type', 'cobalamin', 'Fe3', '-siderophores')",627951699794655.4
"('COG1120', 'ABC-type', 'cobalamin', 'Fe3')",627951699794655.4
"('Glu', 'Leu', 'Phe', 'Val')",624367276964775.2
"('Bacillus/Clostridium', 'GerA', 'spore', 'germination')",620815929713677.5
"('COG0642', 'Signal', 'transduction', 'histidine')",607020103549014.0
"('allylic', 'pyrophosphates', 'generating', 'different')",595121219395363.1
"('highly', 'electrophilic', 'allylic', 'isomer')",587438924893885.5
"('COG1053', 'Succinate', 'dehydrogenase', 'fumarate')",575072618537494.0
"('P-site-bound', 'deacylated', 'tRNA', 'move')",553236105158589.94
"('mediates', 'carbon', 'catabolite', 'repression')",512176029893336.56
"('cytoplasmic', 'proteases', 'finish', 'degrading')",485616672380513.56
"('During', 'trans-translation', 'Ala-', 'aminoacylated')",481764907623279.1
"('Then', 'UvrB', 'probes', 'one')",480282301462106.5
"('weight', 'hydrophilic', 'materials', 'across')",480281981085807.3
"('COG0494', 'NTP', 'pyrophosphohydrolases', 'including')",457170637518708.7
"('MdtABC', 'tripartite', 'complex', 'confers')",456216214654759.0
"('resulting', 'succinic', 'semialdehyde-thiamine', 'pyrophosphate')",451037312976282.44
"('thereby', 'influencing', 'cAMP-dependent', 'processes')",433587950206330.25
"('polyadenylation-dependent', 'snoRNA', ""3'-end"", 'processing')",420245471973032.3
"('Glu', 'Gln', 'Arg', 'opine')",416243150804174.0
"('SulA', 'causes', 'rapid', 'cessation')",413878142690170.44
"('COG0028', 'Thiamine', 'pyrophosphate-requiring', 'enzymes')",412318027871788.7
"('Cas9', 'crRNA', 'tracrRNA', 'endonucleolytically')",394812188210786.8
"('Subsequently', 'Cas9', 'crRNA', 'tracrRNA')",394812188210786.8
"('FKBP-type', 'peptidyl-prolyl', 'cis-trans', 'isomerase')",393744128477653.56
"('COG0745', 'Response', 'regulators', 'consisting')",365802724254657.3
"('SecYEG', 'preprotein', 'conducting', 'channel')",365432378770359.3
"('PFAM', 'Neutral', 'alkaline', 'nonlysosomal')",351330861775056.6
"('generate', '2-deoxy-', 'D-ribose', '5-phosphate')",346870602474424.9
"('nitrate', 'sulfonate', 'bicarbonate', 'transport')",338803847314069.7
"('COG1638', 'TRAP-type', 'C4-dicarboxylate', 'transport')",338802826979532.0
"('Initiation', 'Inhibitor', 'YjgF', 'Family')",331102788224550.5
"('InterPro', 'IPR003610', 'Carbohydrate-binding', 'module')",319485183649104.94
"('Thiamine', 'pyrophosphate-requiring', 'enzymes', 'acetolactate')",317167716765389.9
"('COG0735', 'Fe2', 'Zn2', 'uptake')",315336784281579.9
"('Tripartite', 'tricarboxylate', 'transporter', 'TctA')",310629545086123.1
"('molecular', 'weight', 'hydrophilic', 'materials')",286406824858224.06
"('Unlike', 'classic', 'ABC', 'transporters')",265849755756109.4
"('trans-translation', 'Ala-', 'aminoacylated', 'tmRNA')",258088344293276.3
"('CP-933X', 'Escherichia', 'coli', 'O157')",254728208649695.44
"('dimethylates', 'two', 'adjacent', 'adenosines')",248751909719547.7
"('Orn', 'Lys', 'Arg', 'decarboxylase')",242810525526525.94
"('ATP-driven', 'molecular', 'motor', 'driving')",234943264227917.16
"('COG0508', 'Pyruvate', '2-oxoglutarate', 'dehydrogenase')",230029538002236.9
"('TolQ', 'ExbB', 'proton', 'channel')",193902801998694.16
"('ABC-type', 'dipeptide', 'oligopeptide', 'nickel')",188386653483014.8
"('PFAM', 'ErfK', 'YbiS', 'YcfS')",175665739471506.5
"('antitoxin', 'RnlB', 'causes', 'generalized')",175102709243565.62
"('cryptic', 'P4-like', 'prophage', 'CP4-57')",171394878545631.2
"('COG2373', 'Large', 'extracellular', 'alpha-helical')",169205173812910.56
"('COG3634', 'Alkyl', 'hydroperoxide', 'reductase')",168357623939331.9
"('base-free', 'deoxyribose', '5-phosphate', 'residues')",156248069587090.44
"('transposase', 'IS891', 'IS1136', 'IS1341')",148126387771673.0
"('product', 'spontaneously', 'undergoes', 'cyclization')",145540145483740.62
"('clustered', 'regularly', 'interspaced', 'short')",138134363715168.72
"('Meiotically', 'up-regulated', 'gene', '113')",134894167895733.06
"('alternative', 'sialic', 'acid', 'commonly')",127347637756159.06
"('COG0601', 'ABC-type', 'dipeptide', 'oligopeptide')",125591632852206.97
"('NADP', 'octopine', 'nopaline', 'dehydrogenase')",121068453397787.05
"('Reduces', 'low', 'molecular', 'weight')",120592610128307.08
"('low', 'molecular', 'weight', 'disulfides')",120592610128307.08
"('FPP', 'GGPP', 'synthase', 'family,2-oxoacid')",115257852230366.19
"('regularly', 'interspaced', 'short', 'palindromic')",113757711330216.34
"('COG4823', 'Abortive', 'infection', 'bacteriophage')",112934530751667.73
"('Linear', 'amide', 'C-N', 'hydrolases')",111088827294984.6
"('COG1208', 'Nucleoside-diphosphate-sugar', 'pyrophosphorylase', 'involved')",107200640282741.62
"('defective', 'prophage', 'CPS53', 'excision')",102836944753104.36
"('CobQ', 'CobB', 'MinD', 'ParA')",101878118289022.66
"('specific', 'energy-', 'requiring', 'processes')",99774606829098.5
"('6-phosphogluconolactonase', 'Glucosamine-6-phosphate', 'isomerase', 'deaminase')",97622756345158.61
"('Aerobic-type', 'carbon', 'monoxide', 'dehydrogenase')",95845859433278.31
"('exhibits', 'THF-', 'independent', 'aldolase')",92911803465985.61
"('COG0671', 'Membrane-associated', 'phospholipid', 'phosphatase')",92636218350740.62
"('internal', 'open', 'reading', 'frame')",89215769903507.97
"('COGs', 'COG1122', 'ABC-type', 'cobalt')",85630241636297.81
"('Ligated', 'ion', 'channel', 'L-glutamate-')",85596765770582.7
"('cobalamin', 'Fe3', '-siderophores', 'transport')",84700921973926.12
"('yield', 'sn-', 'glycerol', '3-phosphate')",79349507812472.95
"('NAD', 'NADP', 'octopine', 'nopaline')",75173223402073.83
"('COG', 'COG0494', 'NTP', 'pyrophosphohydrolases')",74077424373572.67
"('phi-C31', 'gp36', 'major', 'capsid-like')",73877120832224.52
"('Ala-', 'aminoacylated', 'tmRNA', 'acts')",73739527158443.45
"('past', 'template-encoded', 'arresting', 'sites')",72432403238531.45
"('negatively', 'supercoils', 'closed', 'circular')",65404332044989.48
"('short', 'internal', 'open', 'reading')",63951094364698.48
"('crRNA', 'tracrRNA', 'endonucleolytically', 'cleaves')",61415233455934.65
"('Its', 'substrate', 'specificity', 'determines')",60525842824537.13
"('_helix', 'lactose', 'operon', 'repressor')",60383684868346.05
"('Homoprotocatechuate', 'degradative', 'operon', 'repressor')",60383650688164.69
"('COG', 'COG2942', 'N-acyl-D-glucosamine', '2-epimerase')",59261948278803.33
"('cognate', 'antitoxin', 'RnlB', 'causes')",58368253183464.89
"('acyl-CoA', 'transferases', 'carnitine', 'dehydratase')",56908447773830.02
"('whose', 'ferroxidase', 'center', 'binds')",56701746965488.62
"('casABCDE-ygbT-ygbF', ""operon,2'-deoxycytidine"", ""5'-triphosphate"", 'deaminase')",56438130282991.42
"('epsilon', 'subunits', 'eIF-2Bgamma', 'eIF-2Bepsilon')",56379886819715.65
"('known', 'phosphorylases', 'share', 'catalytic')",54851539612399.09
"('Selenium-dependent', 'molybdenum', 'hydroxylase', 'system')",54625305321777.945
"('Purine', 'catabolism', 'regulatory', 'protein-like')",53791639235654.23
"('Single', 'strand-specific', 'metallo-endoribonuclease', 'involved')",53600333357151.46
"('Linear', 'amide', 'C-N', 'hydrolase')",51345796516392.16
"('driven', 'multidrug', 'efflux', 'pump')",51333909358084.57
"('suggesting', 'BluF', 'may', 'serve')",50029408070929.336
"('COG', 'COG4845', 'Chloramphenicol', 'O-acetyltransferase')",49384961776750.86
"('COG0839', 'NADH', 'ubiquinone', 'oxidoreductase')",47096651049634.82
"('type', 'VII', 'ESX', 'diderm')",46694132109480.44
"('COG3210', 'Large', 'exoproteins', 'involved')",45943141517280.6
"('responsive', 'A/B', 'Barrel', 'Domain')",45909341062468.18
"('Prokaryotic', 'dksA/traR', 'C4-type', 'zinc')",45244009029153.09
"('low', 'molecular', 'weight', 'phosphotyrosine')",45223431595591.945
"('nitric', 'oxide', 'reductase', 'flavorubredoxin')",44895466509358.695
"('Also', 'synthesizes', 'adenosylcobalamin', ""5'-phosphate"")",43749461022431.766
"('Orn', 'DAP', 'Arg', 'decarboxylase')",43360423044870.83
"('Excreted', 'virulence', 'factor', 'EspC')",43204535424833.945
"('helix_turn_helix', 'multiple', 'antibiotic', 'resistance')",42823545644783.5
"('COG', 'COG3210', 'Large', 'exoproteins')",42329986150945.13
"('Peptidase', 'S24', 'S26A', 'S26B')",42077320093547.82
"('COG0741', 'Soluble', 'lytic', 'murein')",41942844490093.305
"('Phosphate', 'acetyl', 'butaryl', 'transferase')",41745489726155.484
"('Hydrid', 'cluster', 'protein-associated', 'redox')",41505937519147.47
"('flavin', 'adenine', 'dinucleotide', 'binding,3')",41076781104579.58
"('unsaturated', 'chondroitin', 'disaccharide', 'hydrolase')",41038223730011.7
"('Concanavalin', 'A-like', 'lectin/glucanases', 'superfamily')",40755046868420.445
"('mRNA', 'yielding', 'nucleioside', ""5'-phosphates"")",39162809713340.836
"('also', 'use', 'ribulose', '5-phosphate')",38177582193242.79
"('COG', 'COG0175', '3-phosphoadenosine', '5-phosphosulfate')",37038739344163.73
"('release', 'factors', 'RF1', 'PrfA')",34187819947564.695
"('multiple', 'antibiotic', 'resistance', 'protein,23S')",33308772687009.54
"('Hedgehog', 'intein', 'hint', 'domain')",33102854115456.48
"('COG', 'COG0735', 'Fe2', 'Zn2')",32923321400475.883
"('COG4464', 'Capsular', 'polysaccharide', 'biosynthesis')",32519120940298.14
"('Hydrolyzes', 'single-stranded', 'polyribonucleotides', 'processively')",32461154611626.887
"('Metallo-peptidase', 'family', 'M12B', 'Reprolysin-like')",31458791482895.375
"('Rgg', 'GadR', 'MutR', 'family')",31458791482895.375
"('YbiS', 'YcfS', 'YnhG', 'family')",31458791482895.375
"('YegS', 'Rv2252', 'BmrU', 'family')",31458791482895.375
"('YhcH', 'YjgK', 'YiaL', 'family')",31458791482895.375
"('impB', 'mucB', 'samB', 'family')",31458791482895.375
"('ybiS', 'ycfS', 'ynhG', 'family')",31458791482895.375
"('Unfolded', 'proteins', 'bind', 'initially')",31078510531681.63
"('elongation', 'past', 'template-encoded', 'arresting')",30516486862370.1
"('NTP', 'pyrophosphohydrolases', 'including', 'oxidative')",30478172549351.688
"('COG0577', 'ABC-type', 'antimicrobial', 'peptide')",30190302085312.54
"('COG', 'COG0508', 'Pyruvate', '2-oxoglutarate')",29630982919350.156
"('COG0457', 'FOG', 'TPR', 'repeat')",28016554411842.047
"('COG0790', 'FOG', 'TPR', 'repeat')",28016554411842.047
"('nickel-pincer', 'cofactor-', 'dependent', 'enzymes')",27859325415887.055
"('His', 'Glu', 'Gln', 'Arg')",27749651192564.445
"('pre-assembled', 'RecBC', 'greatly', 'stimulates')",26919015001282.582
"('COG1951', 'Tartrate', 'dehydratase', 'alpha')",26859452447267.15
"('thus', 'inhibiting', 'FtsZ', 'polymerization')",26164811621099.03
"('dipeptide', 'oligopeptide', 'nickel', 'transport')",25410297396801.746
"('bacterial-type', 'flagellum-dependent', 'cell', 'motility')",25135554273522.027
"('RnlB', 'causes', 'generalized', 'RNA')",25129773328729.887
"('PFAM', 'Nitrilase', 'cyanide', 'hydratase')",25095149328763.99
"('Nitrite/Sulfite', 'reductase', 'ferredoxin-like', 'half')",24051123841491.996
"('Sm-like', 'SH3', 'beta-barrel', 'fold')",23863953280803.5
"('Preprotein', 'translocase', 'SecG', ""subunit,3'-5"")",23598882007618.207
"('supercoils', 'closed', 'circular', 'double-stranded')",22705130816553.36
"('transducing', 'histidine', 'kinase', 'homodimeric')",22154151662399.375
"('either', 'pyridoxine', ""5'-"", 'phosphate')",21679420487934.277
"(',cellulose', '1,4-beta-cellobiosidase', 'activity,23S', 'rRNA-intervening')",21525661617676.547
"('COG', 'COG0671', 'Membrane-associated', 'phospholipid')",21164993845272.71
"('class-I', 'pyridine', 'nucleotide-disulfide', 'oxidoreductase')",21109642984458.22
"('Tripartite', 'ATP-independent', 'periplasmic', 'transporters')",21086365828380.234
"('InterPro', 'IPR009708', 'Bacteriophage', 'A118')",19989802424186.848
"('Specifically', 'dimethylates', 'two', 'adjacent')",19347371661755.812
"('Synthesizes', 'alpha-1,4-glucan', 'chains', 'using')",19075467901814.832
"('Transposase', 'IS116', 'IS110', 'IS902')",19050516346759.51
"('unwind', 'short', 'rRNA', 'duplexes')",18959614987870.652
"('lyzozyme', 'M1,6-pyruvoyl', 'tetrahydropterin', 'synthase')",18817577090858.906
"('COG0265', 'Trypsin-like', 'serine', 'proteases')",18677764905437.902
"('transposase', 'IS116', 'IS110', 'IS902')",18587846911207.37
"('Right', 'handed', 'beta', 'helix')",18272382917772.48
"('low', 'temperature', 'also', 'triggers')",18084121504749.227
"('Gliding', 'motility-associated', 'protein', 'GldE')",17410550590396.162
"('Xylella', 'fastidiosa', 'phage-related', 'protein')",17410550590396.162
"('fastidiosa', 'phage-related', 'protein', 'xf0485')",17410550590396.162
"('helps', 'enforce', 'protein', 'L-homochirality')",17410550590396.162
"('Glycine', 'D-amino', 'acid', 'oxidases')",17365585333248.457
"('incoming', 'sugar', 'substrates', 'concomitantly')",16914629937082.424
"('mammalian', 'host', 'mucosal', 'sites')",16623830323067.72
"('prophage', 'CP-933X', 'Escherichia', 'coli')",16480281717586.986
"('Fe3', '-siderophores', 'transport', 'systems')",16133520018449.592
"('Negative', 'supercoiling', 'favors', 'strand')",15785465376093.904
"('oxygenases', 'DIM6', 'NTAB', 'family')",15729400071193.46
"('IS891', 'IS1136', 'IS1341', 'family')",15729400071193.46
"('COG', 'COG5295', 'Autotransporter', 'adhesin')",15432808152908.613
"('GGPP', 'synthase', 'family,2-oxoacid', 'dehydrogenases')",15367688481782.389
"('SusD', 'family,3-deoxy-D-manno-octulosonate', '8-phosphate', 'phosphatase')",14906956666353.006
"('COG1589', 'Cell', 'division', 'septal')",14871956672565.846
"('Blue', 'light', 'may', 'act')",14823533640259.037
"('COG', 'COG0028', 'Thiamine', 'pyrophosphate-requiring')",14815495827707.457
"('NADH', 'flavin', 'oxidoreductase', 'NADH')",14717709844562.006
"('alpha-1,4-glucan', 'chains', 'using', 'ADP-glucose')",14306601026882.139
"('Crossover', 'junction', 'endodeoxyribonuclease', 'RuvC')",13980459547676.156
"('phosphorylation', 'may', 'enable', 'SpoIIAA')",13644388983858.412
"('Also', 'exhibits', 'THF-', 'independent')",13392692498012.766
"('pyrophosphate-requiring', 'enzymes', 'acetolactate', 'synthase')",13382604490579.008
"('relaxed', 'tRNA', 'specificity', 'since')",13331007146580.049
"('load', 'beta', 'dimers', 'onto')",12942936241401.773
"('around', 'one', 'UvrB', 'monomer')",12639014500489.191
"('V-ATPase', '116', 'kDa', 'subunit')",12566334717145.566
"('Hemerythrin', 'HHE', 'cation', 'binding')",12363008416271.602
"('PAS', 'fold,4Fe-4S', 'single', 'cluster')",12247641368366.848
"('extracellular', 'matrix', 'structural', ""constituent,5'-3"")",12182775590775.066
"('nucleobase-containing', 'compound', 'metabolic', 'process')",12109151765132.443
"('tracrRNA', 'endonucleolytically', 'cleaves', 'linear')",11990593319481.39
"('Host', 'cell', 'surface-exposed', 'lipoprotein')",11828501048932.172
"('Regulates', 'intracellular', 'CTP', 'levels')",11729928262262.97
"('ABC-type', 'Fe3', '-hydroxamate', 'transport')",11682895348426.967
"('subunits', 'stomatin', 'prohibitin', 'homologs')",11148417906932.795
"('Signal', 'transducing', 'histidine', 'kinase')",11077083450141.484
"('COG', 'KOG2845', 'Activating', 'signal')",10974440165729.377
"('COG5009', 'Membrane', 'carboxypeptidase', 'penicillin-binding')",10937365255680.986
"('2-6', 'carbon', 'acid', 'sugars')",10612302866542.65
"('BlaI', 'MecI', 'CopY', 'family')",10486267004307.594
"('NOL1', 'NOP2', 'sun', 'family')",10486267004307.594
"('asymmetric', 'cellular', 'division', 'facilitating')",10369680023341.482
"('D-isomer', 'specific', '2-hydroxyacid', 'dehydrogenase')",10269199418541.383
"('gamma', 'epsilon', 'subunits', 'eIF-2Bgamma')",10250920222265.123
"('synthase', 'family,2-oxoacid', 'dehydrogenases', 'acyltransferase')",10245126178800.785
"('COG3291', 'FOG', 'PKD', 'repeat')",10005886581576.373
"('formate', 'C-acetyltransferase', 'glycine', 'radical')",9743559899077.234
"('Flagellar', 'hook-basal', 'body', 'complex')",9706772019692.346
"('K02056', 'simple', 'sugar', 'transport')",9411221303391.924
"('CMP', 'dCMP', 'deaminase', 'zinc-binding')",9406359847525.094
"('proton-coupled', 'thiamine', 'transporter', 'YuaJ')",9318915082782.545
"('CobB', 'MinD', 'ParA', 'nucleotide')",9058929808869.924
"('BPG-', 'dependent', 'PGAM', 'subfamily')",9058553473173.85
"('nicotinic', 'acid', 'adenine', 'dinucleotide')",8904760340779.857
"('proline', 'imidic', 'peptide', 'bonds')",8894121432147.295
"('supercoiling', 'favors', 'strand', 'separation')",8835148616873.7
"('oxide', 'mineral', 'core', 'formation')",8756904788549.751
"('Ethanolamine', 'utilisation', 'protein', 'EutN/carboxysome')",8705276053016.342
"('COG5546', 'Small', 'integral', 'membrane')",8509094546434.474
"('UDP-N-', 'acetylglucosamine,4Fe-4S', 'iron', 'sulfur')",8468129430451.8125
"('tripartite', 'complex', 'confers', 'resistance')",8448486249130.278
"('flavin', 'oxidoreductase', 'NADH', 'oxidase')",8410120045956.783
"('contains', 'distinct', 'active', 'sites')",8330123167223.68
"('high', 'intrinsic', 'GTPase', 'hydrolysis')",8317609848812.363
"('COG1168', 'Bifunctional', 'PLP-dependent', 'enzyme')",8072129999691.386
"('oligopeptide', 'nickel', 'transport', 'systems')",8066816956103.042
"('O-acetylhomoserine', 'aminocarboxypropyltransferase', 'cysteine', 'synthase')",7948805450517.676
"('COGs', 'COG0641', 'Arylsulfatase', 'regulator')",7908531648087.414
"('deoxycytidylate', 'deaminase', 'zinc-binding', 'region')",7828111973804.382
"('every', 'two', 'electrons', 'transferred')",7441296683930.563
"('COG', 'COG0346', 'Lactoylglutathione', 'lyase')",7407747787639.488
"('Helps', 'modulate', 'mRNA', 'selection')",7404735280593.331
"('COG4974', 'Site-specific', 'recombinase', 'XerD')",6866784885394.938
"('dksA/traR', 'C4-type', 'zinc', 'finger')",6855153378318.637
"('UBA', 'THIF-type', 'NAD', 'FAD')",6674257809456.179
"('breast', 'cancer', 'carboxy-terminal', 'domain')",6620572997161.928
"('nicotinamide', 'riboside', 'transmembrane', 'transporter')",6609159358066.251
"('located', 'using', 'Glimmer', 'RBSfinder')",6528502470997.962
"('condensin-like', 'complex', 'containing', 'Smc')",6471181498328.78
"('guanosine', 'tetraphosphate', 'metabolic', 'process')",6432986515009.5625
"('wraps', 'around', 'one', 'UvrB')",6319507304600.408
"('Scavenger', 'mRNA', 'decapping', 'enzyme')",6249386585611.987
"('mRNA', 'decapping', 'enzyme', 'C-term')",6249386585611.987
"('double-stranded', 'unmethylated', 'sequence', 'GATC')",6238414768970.615
"('COG', 'COG1951', 'Tartrate', 'dehydratase')",6173122889614.072
"('Na+-transporting', 'oxaloacetate', 'decarboxylase', 'beta')",6040037603413.049
"('COG0424', 'Nucleotide-binding', 'protein', 'implicated')",5803517836469.336
"('frequency', 'lysogenization', 'protein', 'hflD')",5803517836469.336
"('clusters', 'contain', 'sequences', 'complementary')",5782071398485.791
"('Mycolic', 'acid', 'cyclopropane', 'synthetase')",5745006341760.744
"('COG0476', 'Dinucleotide-utilizing', 'enzymes', 'involved')",5730853817983.916
"('Soluble', 'lytic', 'murein', 'transglycosylase')",5719445659066.953
"('tripartite', 'efflux', 'system', 'MacAB-TolC')",5716602173593.166
"('PFAM', 'GDSL-like', 'Lipase', 'Acylhydrolase')",5666646390393.486
"('nucleophile', 'active', 'site', 'attacks')",5664705648697.825
"('intrinsic', 'GTPase', 'hydrolysis', 'rate')",5592875589873.665
"('Collagen', 'triple', 'helix', 'repeat')",5588290911315.805
"('COG1132', 'ABC-type', 'multidrug', 'transport')",5576104872495.614
"('purine', 'nucleoside', 'phosphorylases', 'catalyze')",5522665586574.21
"('CRISPR', 'clusters', 'contain', 'spacers')",5408049240032.595
"('PFAM', 'Phosphate', 'acetyl', 'butaryl')",5369194823780.263
"('Trypsin-like', 'serine', 'proteases', 'typically')",5336583547012.374
"('COG0187', 'Type', 'IIA', 'topoisomerase')",5289969946360.6045
"('Glyoxalase/Bleomycin', 'resistance', 'protein/Dioxygenase', 'superfamily')",5283061411792.329
"('type-B', 'carboxylesterase', 'lipase', 'family')",5243133288337.947
"('maturation', 'factor', 'XdhC', 'CoxF')",5236913676221.137
"('Can', 'also', 'use', 'ribulose')",5206035649289.906
"('COGs', 'COG4397', 'Mu-like', 'prophage')",5193815441316.197
"('complex', 'heterocyclic', 'radical-mediated', 'conversion')",5155008994219.792
"('Macrophage', 'migration', 'inhibitory', 'factor')",4985139179187.079
"('pyrophosphates', 'generating', 'different', 'type')",4959344665685.042
"('Heavy', 'metal', 'sensor', 'kinase')",4907996885951.137
"('interspaced', 'short', 'palindromic', 'repeat')",4900332187184.554
"('contain', 'LysM', 'invasin', 'domains')",4784598534878.313
"('chain', 'termination', 'codons', 'UGA')",4644858251113.259
"('Bacteriophage', 'abortive', 'infection', 'AbiH')",4642793830286.394
"('defense', 'system', 'toward', 'oxidative')",4609010760032.777
"('Redox', 'regulated', 'molecular', 'chaperone')",4505279188008.993
"('bd-type', 'quinol', 'oxidase', 'subunit')",4487976741764.706
"('THF-', 'independent', 'aldolase', 'activity')",4482453308268.848
"('Removes', 'N-terminal', 'dipeptides', 'sequentially')",4435687114014.452
"('IS116', 'IS110', 'IS902', 'family')",4433060413453.018
"('Cell', 'surface', 'antigen', 'C-terminus')",4411777271858.542
"('COG', 'COG3291', 'FOG', 'PKD')",4409373757167.987
"('COG1122', 'ABC-type', 'cobalt', 'transport')",4381085715403.75
"('mineral', 'core', 'formation', 'within')",4378452442201.043
"('fully', 'assembled', '30S', 'ribosomal')",4358541577824.632
"('spanning', 'protein', 'TolA', 'K03646')",4352638384368.848
"('phiYeO3-12', '1.45', 'protein', '1.45')",4352638215962.5337
"('Formate/nitrite', 'transporter,4Fe-4S', 'iron', 'sulfur')",4234064948849.325
"('Two', 'component', 'signalling', 'adaptor')",4220572098645.885
"('Circularly', 'permuted', 'ATP-grasp', 'type')",4215443223784.143
"('CRISPR', 'systems', 'correct', 'processing')",4137455231148.6226
"('proteases', 'typically', 'periplasmic', 'contain')",4110383947998.284
"('phosphoenolpyruvate-dependent', 'sugar', 'phosphotransferase', 'system')",4046319632072.796
