quadgram,PMI
"('COG1974', 'SOS-response', 'transcriptional', 'repressors')",50.60624604237718
"('COG1294', 'Cytochrome', 'bd-type', 'quinol')",50.43067447779372
"('MotA', 'TolQ', 'ExbB', 'proton')",50.40092713439967
"('Guanosine', 'polyphosphate', 'pyrophosphohydrolases', 'synthetases')",50.27867138434868
"('COG0363', '6-phosphogluconolactonase', 'Glucosamine-6-phosphate', 'isomerase')",50.221221112164784
"('Iron-only', 'hydrogenase', 'maturation', 'rSAM')",49.971242859156426
"('probably', 'causes', 'local', 'melting')",49.845711977072575
"('rapidly', 'metabolisable', 'carbon', 'sources')",49.62331955573613
"('COG0175', '3-phosphoadenosine', '5-phosphosulfate', 'sulfotransferase')",49.623319555736124
"('ABC-type', 'nitrate', 'sulfonate', 'bicarbonate')",49.57269348266616
"('phosphomethylpyrimidine', 'kinase', 'K00877', 'K00941')",49.50256739627551
"('Acyl-coenzyme', 'A:6-aminopenicillanic', 'acid', 'acyl-transferase')",49.44072814245765
"('SNF-related', 'matrix-associated', 'actin-dependent', 'regulator')",49.30597873034441
"('root', 'UniRef', 'RepID', 'VPD_BP186')",49.260749476351414
"('Conserved', 'Open', 'Reading', 'Frame')",49.20185578729785
"('Streptococcus', 'thermophilus', 'bacteriophage', 'Sfi19')",49.17433472453395
"('ABC-type', 'cobalamin', 'Fe3', '-siderophores')",49.15765598338731
"('COG1120', 'ABC-type', 'cobalamin', 'Fe3')",49.15765598338731
"('Bacillus/Clostridium', 'GerA', 'spore', 'germination')",49.14116786059874
"('COG0642', 'Signal', 'transduction', 'histidine')",49.10874638290636
"('highly', 'electrophilic', 'allylic', 'isomer')",49.06144066812801
"('helix_turn', '_helix', 'lactose', 'operon')",49.04601062755841
"('COG1053', 'Succinate', 'dehydrogenase', 'fumarate')",49.03074387090509
"('cytoplasmic', 'proteases', 'finish', 'degrading')",48.786818288019
"('COG0494', 'NTP', 'pyrophosphohydrolases', 'including')",48.69973267125529
"('MdtABC', 'tripartite', 'complex', 'confers')",48.69671763349986
"('resulting', 'succinic', 'semialdehyde-thiamine', 'pyrophosphate')",48.680246623820956
"('COG0454', 'Histone', 'acetyltransferase', 'HPA2')",48.66986214167316
"('polyadenylation-dependent', 'snoRNA', ""3'-end"", 'processing')",48.578231666207586
"('Glu', 'Gln', 'Arg', 'opine')",48.564425866682555
"('SulA', 'causes', 'rapid', 'cessation')",48.55620535987758
"('FKBP-type', 'peptidyl-prolyl', 'cis-trans', 'isomerase')",48.48425551799857
"('11280351', 'pir', 'D82035', 'ParB')",48.39114611360709
"('PFAM', 'Neutral', 'alkaline', 'nonlysosomal')",48.31982870910544
"('COG1638', 'TRAP-type', 'C4-dicarboxylate', 'transport')",48.26744412892542
"('COG0079', 'Histidinol-phosphate', 'aromatic', 'aminotransferase')",48.260749476351414
"('Initiation', 'Inhibitor', 'YjgF', 'Family')",48.234277264990226
"('Also', 'edits', 'incorrectly', 'charged')",48.22122111216478
"('Cytochrome', 'bd-type', 'quinol', 'oxidase')",48.20828205645728
"('osmotic', 'pressure', 'changes', 'within')",48.20185578729785
"('InterPro', 'IPR003610', 'Carbohydrate-binding', 'module')",48.182746964350144
"('Tripartite', 'tricarboxylate', 'transporter', 'TctA')",48.142192865999505
"('P-site-bound', 'deacylated', 'tRNA', 'move')",47.97489063617157
"('CP-933X', 'Escherichia', 'coli', 'O157')",47.85576564173649
"('Orn', 'Lys', 'Arg', 'decarboxylase')",47.786818288019
"('weight', 'hydrophilic', 'materials', 'across')",47.77087674414998
"('COG0508', 'Pyruvate', '2-oxoglutarate', 'dehydrogenase')",47.70881577601773
"('thereby', 'influencing', 'cAMP-dependent', 'processes')",47.623319555736124
"('PFAM', 'ErfK', 'YbiS', 'YcfS')",47.31982870910544
"('antitoxin', 'RnlB', 'causes', 'generalized')",47.31519726037379
"('mediates', 'carbon', 'catabolite', 'repression')",47.278671384348684
"('COG2373', 'Large', 'extracellular', 'alpha-helical')",47.26576755111804
"('COG3634', 'Alkyl', 'hydroperoxide', 'reductase')",47.258524811236896
"('Then', 'UvrB', 'probes', 'one')",47.185914243428826
"('COG0735', 'Fe2', 'Zn2', 'uptake')",47.16388793709882
"('transposase', 'IS891', 'IS1136', 'IS1341')",47.073122473175644
"('molecular', 'weight', 'hydrophilic', 'materials')",47.02506023240151
"('COG0601', 'ABC-type', 'dipeptide', 'oligopeptide')",46.835727888499946
"('allylic', 'pyrophosphates', 'generating', 'different')",46.75824913582224
"('Leu', 'Phe', 'Val', 'dehydrogenases')",46.71642896012761
"('generate', '2-deoxy-', 'D-ribose', '5-phosphate')",46.71642896012761
"('FPP', 'GGPP', 'synthase', 'family,2-oxoacid')",46.71185623033778
"('nitrate', 'sulfonate', 'bicarbonate', 'transport')",46.68248162820427
"('COG4823', 'Abortive', 'infection', 'bacteriophage')",46.682481628204265
"('Linear', 'amide', 'C-N', 'hydrolases')",46.6580849738968
"('TolQ', 'ExbB', 'proton', 'channel')",46.46232767906382
"('Unlike', 'classic', 'ABC', 'transporters')",46.3326423948332
"('cryptic', 'P4-like', 'prophage', 'CP4-57')",46.28431794748982
"('COGs', 'COG1122', 'ABC-type', 'cobalt')",46.283186865471166
"('cobalamin', 'Fe3', '-siderophores', 'transport')",46.26744412892542
"('Xylose', 'isomerase-like', 'TIM', 'barrel')",46.17538357593666
"('COG', 'COG0494', 'NTP', 'pyrophosphohydrolases')",46.07410024009947
"('Glu', 'Leu', 'Phe', 'Val')",45.9794633659614
"('ABC-type', 'dipeptide', 'oligopeptide', 'nickel')",45.83572788849995
"('Homoprotocatechuate', 'degradative', 'operon', 'repressor')",45.7792240868635
"('COG', 'COG2942', 'N-acyl-D-glucosamine', '2-epimerase')",45.75217214521211
"('cognate', 'antitoxin', 'RnlB', 'causes')",45.73023475965263
"('acyl-CoA', 'transferases', 'carnitine', 'dehydratase')",45.69370888362752
"('casABCDE-ygbT-ygbF', ""operon,2'-deoxycytidine"", ""5'-triphosphate"", 'deaminase')",45.681736241961445
"('Cas9', 'crRNA', 'tracrRNA', 'endonucleolytically')",45.680805050396884
"('Subsequently', 'Cas9', 'crRNA', 'tracrRNA')",45.680805050396884
"('epsilon', 'subunits', 'eIF-2Bgamma', 'eIF-2Bepsilon')",45.680246623820956
"('COG1208', 'Nucleoside-diphosphate-sugar', 'pyrophosphorylase', 'involved')",45.60730723774749
"('defective', 'prophage', 'CPS53', 'excision')",45.54735235332361
"('driven', 'multidrug', 'efflux', 'pump')",45.54497810445433
"('Linear', 'amide', 'C-N', 'hydrolase')",45.54396176412284
"('suggesting', 'BluF', 'may', 'serve')",45.50784233831619
"('COG', 'COG4845', 'Chloramphenicol', 'O-acetyltransferase')",45.489137739378315
"('product', 'spontaneously', 'undergoes', 'cyclization')",45.46344821895774
"('COG0839', 'NADH', 'ubiquinone', 'oxidoreductase')",45.4206903892211
"('responsive', 'A/B', 'Barrel', 'Domain')",45.38385362104073
"('Orn', 'DAP', 'Arg', 'decarboxylase')",45.30139146084876
"('Hydrid', 'cluster', 'protein-associated', 'redox')",45.238381663322954
"('COG0028', 'Thiamine', 'pyrophosphate-requiring', 'enzymes')",45.228822834898125
"('flavin', 'adenine', 'dinucleotide', 'binding,3')",45.223388948847486
"('mRNA', 'yielding', 'nucleioside', ""5'-phosphates"")",45.15455007251949
"('also', 'use', 'ribulose', '5-phosphate')",45.11779152250937
"('phi-C31', 'gp36', 'major', 'capsid-like')",45.07019314213697
"('dimethylates', 'two', 'adjacent', 'adenosines')",45.01434608117006
"('multiple', 'antibiotic', 'resistance', 'protein,23S')",44.92089947346679
"('Hedgehog', 'intein', 'hint', 'domain')",44.91202132212034
"('6-phosphogluconolactonase', 'Glucosamine-6-phosphate', 'isomerase', 'deaminase')",44.88732037561134
"('COG4464', 'Capsular', 'polysaccharide', 'biosynthesis')",44.88635396156992
"('Hydrolyzes', 'single-stranded', 'polyribonucleotides', 'processively')",44.88378001790609
"('alternative', 'sialic', 'acid', 'commonly')",44.8557656417365
"('Thiamine', 'pyrophosphate-requiring', 'enzymes', 'acetolactate')",44.85031121164439
"('ybiS', 'ycfS', 'ynhG', 'family')",44.83852893681119
"('impB', 'mucB', 'samB', 'family')",44.83852893681119
"('YhcH', 'YjgK', 'YiaL', 'family')",44.83852893681119
"('YegS', 'Rv2252', 'BmrU', 'family')",44.83852893681119
"('YbiS', 'YcfS', 'YnhG', 'family')",44.83852893681119
"('Rgg', 'GadR', 'MutR', 'family')",44.83852893681119
"('Metallo-peptidase', 'family', 'M12B', 'Reprolysin-like')",44.83852893681119
"('base-free', 'deoxyribose', '5-phosphate', 'residues')",44.828903689386024
"('NTP', 'pyrophosphohydrolases', 'including', 'oxidative')",44.792842075646774
"('COG', 'COG0508', 'Pyruvate', '2-oxoglutarate')",44.75217214521211
"('Ligated', 'ion', 'channel', 'L-glutamate-')",44.69765915610777
"('whose', 'ferroxidase', 'center', 'binds')",44.68845862294032
"('His', 'Glu', 'Gln', 'Arg')",44.65753527107403
"('known', 'phosphorylases', 'share', 'catalytic')",44.64059754716796
"('Selenium-dependent', 'molybdenum', 'hydroxylase', 'system')",44.63463486896396
"('Meiotically', 'up-regulated', 'gene', '113')",44.6168932865767
"('Purine', 'catabolism', 'regulatory', 'protein-like')",44.61244738154549
"('COG1951', 'Tartrate', 'dehydratase', 'alpha')",44.61049551537854
"('yield', 'sn-', 'glycerol', '3-phosphate')",44.588324134379924
"('thus', 'inhibiting', 'FtsZ', 'polymerization')",44.57269348266615
"('bacterial-type', 'flagellum-dependent', 'cell', 'motility')",44.514795098957954
"('RnlB', 'causes', 'generalized', 'RNA')",44.51446325420873
"('Nitrite/Sulfite', 'reductase', 'ferredoxin-like', 'half')",44.4511698891793
"('Preprotein', 'translocase', 'SecG', ""subunit,3'-5"")",44.42364721089976
"('type', 'VII', 'ESX', 'diderm')",44.40830666476527
"('COG0671', 'Membrane-associated', 'phospholipid', 'phosphatase')",44.39663977599658
"('nitric', 'oxide', 'reductase', 'flavorubredoxin')",44.35163421562838
"('Excreted', 'virulence', 'factor', 'EspC')",44.2962481575728
"(',cellulose', '1,4-beta-cellobiosidase', 'activity,23S', 'rRNA-intervening')",44.29112312539493
"('unsaturated', 'chondroitin', 'disaccharide', 'hydrolase')",44.22203366923547
"('InterPro', 'IPR009708', 'Bacteriophage', 'A118')",44.18432973471283
"('During', 'trans-translation', 'Ala-', 'aminoacylated')",44.13146645940645
"('COG0745', 'Response', 'regulators', 'consisting')",44.13013124872263
"('Transposase', 'IS116', 'IS110', 'IS902')",44.10874638290636
"('unwind', 'short', 'rRNA', 'duplexes')",44.10799517484935
"('lyzozyme', 'M1,6-pyruvoyl', 'tetrahydropterin', 'synthase')",44.09714638622257
"('transposase', 'IS116', 'IS110', 'IS902')",44.073122473175644
"('low', 'temperature', 'also', 'triggers')",44.039789010508095
"('Gliding', 'motility-associated', 'protein', 'GldE')",43.9850273121443
"('Xylella', 'fastidiosa', 'phage-related', 'protein')",43.9850273121443
"('fastidiosa', 'phage-related', 'protein', 'xf0485')",43.9850273121443
"('helps', 'enforce', 'protein', 'L-homochirality')",43.9850273121443
"('Glycine', 'D-amino', 'acid', 'oxidases')",43.98129652382035
"('NADP', 'octopine', 'nopaline', 'dehydrogenase')",43.9754614354039
"('release', 'factors', 'RF1', 'PrfA')",43.95854778630806
"('prophage', 'CP-933X', 'Escherichia', 'coli')",43.90580632423609
"('COG', 'COG0735', 'Fe2', 'Zn2')",43.90417523865716
"('Fe3', '-siderophores', 'transport', 'systems')",43.87512670614666
"('ATP-driven', 'molecular', 'motor', 'driving')",43.83241515445911
"('Unfolded', 'proteins', 'bind', 'initially')",43.82098270844514
"('GGPP', 'synthase', 'family,2-oxoacid', 'dehydrogenases')",43.80496563472926
"('COG3210', 'Large', 'exoproteins', 'involved')",43.79995231568989
"('Its', 'substrate', 'specificity', 'determines')",43.782616552040395
"('_helix', 'lactose', 'operon', 'repressor')",43.77922408686351
"('low', 'molecular', 'weight', 'phosphotyrosine')",43.77713271895793
"('Reduces', 'low', 'molecular', 'weight')",43.77713271895792
"('low', 'molecular', 'weight', 'disulfides')",43.77713271895792
"('SusD', 'family,3-deoxy-D-manno-octulosonate', '8-phosphate', 'phosphatase')",43.76105120220545
"('COG1589', 'Cell', 'division', 'septal')",43.7576599199509
"('Blue', 'light', 'may', 'act')",43.75295483615272
"('SecYEG', 'preprotein', 'conducting', 'channel')",43.73274161526321
"('helix_turn_helix', 'multiple', 'antibiotic', 'resistance')",43.698507052130346
"('COG', 'COG3210', 'Large', 'exoproteins')",43.681782817320716
"('COG0457', 'FOG', 'TPR', 'repeat')",43.67134107059906
"('COG0790', 'FOG', 'TPR', 'repeat')",43.67134107059906
"('nickel-pincer', 'cofactor-', 'dependent', 'enzymes')",43.66322565904389
"('Aerobic-type', 'carbon', 'monoxide', 'dehydrogenase')",43.63842644812633
"('phosphorylation', 'may', 'enable', 'SpoIIAA')",43.633373220400046
"('relaxed', 'tRNA', 'specificity', 'since')",43.599851204824645
"('load', 'beta', 'dimers', 'onto')",43.55723036527835
"('Hemerythrin', 'HHE', 'cation', 'binding')",43.49109526347903
"('PAS', 'fold,4Fe-4S', 'single', 'cluster')",43.47756932720238
"('extracellular', 'matrix', 'structural', ""constituent,5'-3"")",43.46990826789826
"('specific', 'energy-', 'requiring', 'processes')",43.33381293854114
"('transducing', 'histidine', 'kinase', 'homodimeric')",43.3326423948332
"('COG', 'KOG2845', 'Activating', 'signal')",43.319212737936006
"('Also', 'synthesizes', 'adenosylcobalamin', ""5'-phosphate"")",43.31433051655627
"('NAD', 'NADP', 'octopine', 'nopaline')",43.287929201042196
"('Single', 'strand-specific', 'metallo-endoribonuclease', 'involved')",43.28537914286014
"('2-6', 'carbon', 'acid', 'sugars')",43.270803141015335
"('class-I', 'pyridine', 'nucleotide-disulfide', 'oxidoreductase')",43.26283822007937
"('Tripartite', 'ATP-independent', 'periplasmic', 'transporters')",43.26137578200088
"('past', 'template-encoded', 'arresting', 'sites')",43.234345576031735
"('trans-translation', 'Ala-', 'aminoacylated', 'tmRNA')",43.23100213295736
"('gamma', 'epsilon', 'subunits', 'eIF-2Bgamma')",43.22081500518366
"('synthase', 'family,2-oxoacid', 'dehydrogenases', 'acyltransferase')",43.2200031340081
"('CMP', 'dCMP', 'deaminase', 'zinc-binding')",43.096773741240284
"('COG0265', 'Trypsin-like', 'serine', 'proteases')",43.08637856987791
"('exhibits', 'THF-', 'independent', 'aldolase')",43.07899903951231
"('BPG-', 'dependent', 'PGAM', 'subfamily')",43.04241795937601
"('crRNA', 'tracrRNA', 'endonucleolytically', 'cleaves')",42.99630687612481
"('Ethanolamine', 'utilisation', 'protein', 'EutN/carboxysome')",42.9850273121443
"('dipeptide', 'oligopeptide', 'nickel', 'transport')",42.945516034038064
"('UDP-N-', 'acetylglucosamine,4Fe-4S', 'iron', 'sulfur')",42.94518056257023
"('tripartite', 'complex', 'confers', 'resistance')",42.94183013133639
"('COGs', 'COG0641', 'Arylsulfatase', 'regulator')",42.84654711170711
"('IS891', 'IS1136', 'IS1341', 'family')",42.83852893681119
"('oxygenases', 'DIM6', 'NTAB', 'family')",42.83852893681119
"('Helps', 'modulate', 'mRNA', 'selection')",42.75158540554122
"('NADH', 'flavin', 'oxidoreductase', 'NADH')",42.74261848410846
"('either', 'pyridoxine', ""5'-"", 'phosphate')",42.71642896012761
"('Concanavalin', 'A-like', 'lectin/glucanases', 'superfamily')",42.62708147453232
"('UBA', 'THIF-type', 'NAD', 'FAD')",42.60174465014224
"('nicotinamide', 'riboside', 'transmembrane', 'transporter')",42.58760401432187
"('guanosine', 'tetraphosphate', 'metabolic', 'process')",42.548625881469476
"('Synthesizes', 'alpha-1,4-glucan', 'chains', 'using')",42.53182120125064
"('PFAM', 'Nitrilase', 'cyanide', 'hydratase')",42.51247378704784
"('Scavenger', 'mRNA', 'decapping', 'enzyme')",42.506851816450364
"('mRNA', 'decapping', 'enzyme', 'C-term')",42.506851816450364
"('double-stranded', 'unmethylated', 'sequence', 'GATC')",42.50431670397221
"('COG', 'COG1951', 'Tartrate', 'dehydratase')",42.48913773937832
"('COG0577', 'ABC-type', 'antimicrobial', 'peptide')",42.457216265246224
"('Peptidase', 'S24', 'S26A', 'S26B')",42.45075314610936
"('ABC-type', 'Fe3', '-hydroxamate', 'transport')",42.40946313379784
"('Mycolic', 'acid', 'cyclopropane', 'synthetase')",42.38544570695646
"('tripartite', 'efflux', 'system', 'MacAB-TolC')",42.37829511570417
"('PFAM', 'GDSL-like', 'Lipase', 'Acylhydrolase')",42.36563239871856
"('Signal', 'transducing', 'histidine', 'kinase')",42.3326423948332
"('COG5009', 'Membrane', 'carboxypeptidase', 'penicillin-binding')",42.314330516556254
"('COG', 'COG0175', '3-phosphoadenosine', '5-phosphosulfate')",42.26674531804187
"('COG', 'COG0671', 'Membrane-associated', 'phospholipid')",42.26674531804187
"('Glyoxalase/Bleomycin', 'resistance', 'protein/Dioxygenase', 'superfamily')",42.26451139514761
"('type-B', 'carboxylesterase', 'lipase', 'family')",42.25356643609003
"('maturation', 'factor', 'XdhC', 'CoxF')",42.25185403821435
"('Can', 'also', 'use', 'ribulose')",42.24332240459323
"('clustered', 'regularly', 'interspaced', 'short')",42.165710672705636
"('Flagellar', 'hook-basal', 'body', 'complex')",42.14212878182222
"('alpha-1,4-glucan', 'chains', 'using', 'ADP-glucose')",42.116783701971784
"('K02056', 'simple', 'sugar', 'transport')",42.09751912748311
"('proton-coupled', 'thiamine', 'transporter', 'YuaJ')",42.083299176945935
"('COG1122', 'ABC-type', 'cobalt', 'transport')",41.994425634519004
"('oxide', 'mineral', 'core', 'formation')",41.993558195847186
"('elongation', 'past', 'template-encoded', 'arresting')",41.98729920537551
"('fully', 'assembled', '30S', 'ribosomal')",41.98698265133344
"('phiYeO3-12', '1.45', 'protein', '1.45')",41.9850273121443
"('Formate/nitrite', 'transporter,4Fe-4S', 'iron', 'sulfur')",41.94518056257023
"('incoming', 'sugar', 'substrates', 'concomitantly')",41.94333686258655
"('Circularly', 'permuted', 'ATP-grasp', 'type')",41.93882138146405
"('around', 'one', 'UvrB', 'monomer')",41.93798672998524
"('flavin', 'oxidoreductase', 'NADH', 'oxidase')",41.935263562050864
"('V-ATPase', '116', 'kDa', 'subunit')",41.92966666632094
"('mammalian', 'host', 'mucosal', 'sites')",41.918318082584065
"('regularly', 'interspaced', 'short', 'palindromic')",41.8856027535129
"('COG1168', 'Bifunctional', 'PLP-dependent', 'enzyme')",41.87608562611609
"('oligopeptide', 'nickel', 'transport', 'systems')",41.87512670614666
"('O-acetylhomoserine', 'aminocarboxypropyltransferase', 'cysteine', 'synthase')",41.85387523521021
"('COG0741', 'Soluble', 'lytic', 'murein')",41.79404985725007
"('every', 'two', 'electrons', 'transferred')",41.758691205701865
"('COG', 'COG0346', 'Lactoylglutathione', 'lyase')",41.752172145212114
"('phosphorelay', 'signal', 'transduction', 'system')",41.72774427335544
"('internal', 'open', 'reading', 'frame')",41.69850705213034
"('BlaI', 'MecI', 'CopY', 'family')",41.66860393536888
"('NOL1', 'NOP2', 'sun', 'family')",41.66860393536888
"('sugar-binding', 'region', 'containing', 'DXD')",41.656917105653925
"('COG', 'COG4823', 'Abortive', 'infection')",41.5822471437698
"('formate', 'C-acetyltransferase', 'glycine', 'radical')",41.56262362404857
"('non-canonical', 'purine', 'nucleotides', 'XTP')",41.54491456220319
"('divalent', 'metal', 'cation', 'uptake')",41.46344821895773
"('Na+-transporting', 'oxaloacetate', 'decarboxylase', 'beta')",41.45769469172743
"('COG0484', 'DnaJ-class', 'molecular', 'chaperone')",41.4497911278842
"('Ala-', 'aminoacylated', 'tmRNA', 'acts')",41.42364721089976
"('Penicillin-binding', 'Protein,4Fe-4S', 'iron', 'sulfur')",41.360218061849075
"('Specifically', 'dimethylates', 'two', 'adjacent')",41.32984790689799
"('Phosphomannose', 'isomerase', 'type', 'I,5')",41.314330516556254
"('Sugar-specific', 'transcriptional', 'regulator', 'TrmB')",41.311625293485555
"('Trypsin-like', 'serine', 'proteases', 'typically')",41.27902364782031
"('Paralog', 'group', 'containing', 'PA0028')",41.24066979914201
"('short', 'internal', 'open', 'reading')",41.21817809259978
"('Macrophage', 'migration', 'inhibitory', 'factor')",41.18077094015286
"('SmpB', 'together', 'mimic', 'tRNA')",41.16753571411397
"('Heavy', 'metal', 'sensor', 'kinase')",41.158271488359695
"('signal', 'peptide', 'across', 'membranes')",41.12290444590302
"('Crossover', 'junction', 'endodeoxyribonuclease', 'RuvC')",41.0835145206348
"('COG4974', 'Site-specific', 'recombinase', 'XerD')",41.05780941768114
"('Removes', 'N-terminal', 'dipeptides', 'sequentially')",41.012294758428766
"('mineral', 'core', 'formation', 'within')",40.993558195847186
"('phage-related', 'protein', 'xf0485', 'SWALL')",40.9850273121443
"('protein', 'Mlr8012', 'SWALL', 'Q984G8')",40.9850273121443
"('protein', 'xf0485', 'SWALL', 'Q9PG17')",40.9850273121443
"('beta', 'sliding', 'clamp', 'dimers')",40.983763503395025
"('metal', 'translocating', 'P-type', 'ATPase')",40.98129652382035
"('UDP-glucose', 'GDP-mannose', 'dehydrogenase', 'family,4Fe-4S')",40.95392827385426
"('Two', 'component', 'signalling', 'adaptor')",40.940575722909486
"('wraps', 'around', 'one', 'UvrB')",40.93798672998524
"('Abortive', 'infection', 'bacteriophage', 'resistance')",40.9275941260408
"('asymmetric', 'cellular', 'division', 'facilitating')",40.9155085223075
"('proteases', 'typically', 'periplasmic', 'contain')",40.90241030778898
"('Thiamine', 'monophosphate', 'synthase', 'TENI')",40.8663661793934
"('COG3291', 'FOG', 'PKD', 'repeat')",40.863986148541464
"('COG0424', 'Nucleotide-binding', 'protein', 'implicated')",40.81510231070199
"('frequency', 'lysogenization', 'protein', 'hflD')",40.81510231070199
"('Prokaryotic', 'dksA/traR', 'C4-type', 'zinc')",40.777829504791754
"('facilitate', 'mRNA', 'translational', 'regulation')",40.76911903532597
"('antibiotic', 'resistance', 'protein,23S', 'rRNA-intervening')",40.75097447202448
"('QueT', 'transporter,4Fe-4S', 'single', 'cluster')",40.74060373303618
"('Phosphate', 'acetyl', 'butaryl', 'transferase')",40.72312361270161
"('COG0187', 'Type', 'IIA', 'topoisomerase')",40.6814335387714
"('tracrRNA', 'endonucleolytically', 'cleaves', 'linear')",40.639613363076776
"('Sigma', 'factor', 'PP2C-like', 'phosphatases')",40.62854522584371
"('b-c1', 'complex', 'mediates', 'electron')",40.52679263205754
"('surface', 'protein', '26-residue', 'PARCEL')",40.525595693507
"('Portal', 'protein,37-kD', 'nucleoid-associated', 'bacterial')",40.51675661529124
"('CobQ', 'CobB', 'MinD', 'ParA')",40.511469733820675
"('mature', '70S', 'translation', 'initation')",40.50635681042702
"('COG', 'COG5295', 'Autotransporter', 'adhesin')",40.48913773937832
"('COG', 'COG1168', 'Bifunctional', 'PLP-dependent')",40.489137739378315
"('Right', 'handed', 'beta', 'helix')",40.46976752402801
"('nucleobase-containing', 'compound', 'metabolic', 'process')",40.461163040219134
"('COG', 'COG0028', 'Thiamine', 'pyrophosphate-requiring')",40.43024405032475
"('IS116', 'IS110', 'IS902', 'family')",40.42349143753235
"('spanning', 'protein', 'TolA', 'K03646')",40.40006481142315
"('COG5263', 'FOG', 'Glucan-binding', 'domain')",40.32705882139918
"('Also', 'exhibits', 'THF-', 'independent')",40.28458317316221
"('pyrophosphate-requiring', 'enzymes', 'acetolactate', 'synthase')",40.28349605763349
"('breast', 'cancer', 'carboxy-terminal', 'domain')",40.268165132345615
"('located', 'using', 'Glimmer', 'RBSfinder')",40.24796114719679
"('oxalate-dependent', 'acid', 'tolerance', 'response')",40.211909451961766
"('cluster', 'protein-associated', 'redox', 'disulfide')",40.193987543964504
"('Has', 'low', 'D-mannonate', 'dehydratase')",40.182746964350144
"('PFAM', 'Auxin', 'Efflux', 'Carrier')",40.14990370766312
"('Regulates', 'intracellular', 'CTP', 'levels')",40.09333133051968
"('COG', 'COG1974', 'SOS-response', 'transcriptional')",40.07974680324061
"('proteasome-like', 'degradation', 'complex', 'believed')",40.06554057779588
"('PFAM', 'UBA', 'THIF-type', 'NAD')",40.062440866412786
"('acid', 'residues', 'except', 'L-proline')",40.06134977538639
"('oxidase', 'YfiH', 'RL5', 'family')",40.03117401475359
"('calmodulin-responsive', 'adenylate', 'cyclase', 'activity')",40.02742569454955
"('The', '2-keto-3-deoxygluconate', 'permease', 'transports')",40.01276337511757
"('Signal', 'transduction', 'histidine', 'kinase')",40.01071429994583
"('Cell', 'surface', 'antigen', 'C-terminus')",40.004497098256905
"('protein', '1.45', 'SWALL', 'Q9T140')",39.9850273121443
"('removes', 'non-canonical', 'purine', 'nucleotides')",39.95995206148203
