quadgram,freq
"('iron', 'sulfur', 'cluster', 'binding')",44
"('addiction', 'module', 'antidote', 'protein')",43
"('DNA', 'polymerase', 'elongation', 'subunit')",43
"('restriction', 'protein', 'res', 'subunit')",42
"('PFAM', 'Manganese', 'containing', 'catalase')",42
"('Bacteriophage', 'lambda', 'head', 'decoration')",42
"('COG', 'COG1783', 'Phage', 'terminase')",42
"('COG1783', 'Phage', 'terminase', 'large')",42
"('III', 'restriction', 'protein', 'res')",42
"('Phage', 'recombination', 'protein', 'Bet')",42
"('lambda', 'head', 'decoration', 'protein')",42
"('Type', 'III', 'restriction', 'protein')",41
"('Putative', 'phage', 'tail', 'protein')",39
"('extend', 'heteroduplex', 'DNA', 'faster')",39
"('various', 'branched', 'DNA', 'structures')",39
"('RecA-mediated', 'strand', 'transfer', 'reactions')",39
"('prophage', 'FluMu', 'protein', 'gp28')",39
"('Mu-like', 'prophage', 'FluMu', 'protein')",39
"('lipolytic', 'protein', 'G-D-S-L', 'family')",38
"('RNA', 'dependent', 'RNA', 'polymerase')",38
"('PFAM', 'helix-turn-helix', 'domain', 'protein')",37
"('UvrABC', 'repair', 'system', 'catalyzes')",37
"('Phage', 'virion', 'morphogenesis', 'family')",37
"('module', 'antidote', 'protein', 'HigA')",37
"('The', 'UvrABC', 'repair', 'system')",37
"('NOG12663', 'non', 'supervised', 'orthologous')",36
"('COG', 'NOG12663', 'non', 'supervised')",36
"('restriction', 'enzyme', 'HsdR', 'protein')",36
"('ATP-dependent', 'DNA', 'helicase', 'activity')",36
"('Papain', 'family', 'cysteine', 'protease')",35
"('DNA-dependent', 'RNA', 'polymerase', 'catalyzes')",35
"('Fe-S', 'cluster', 'synthesis', 'onto')",34
"('cluster', 'synthesis', 'onto', 'IscU')",34
"('Mor', 'transcription', 'activator', 'family')",34
"('Fe-S', 'scaffold', 'assembly', 'protein')",34
"('Caudovirales', 'tail', 'fibre', 'assembly')",34
"('tail', 'fibre', 'assembly', 'protein')",33
"('DNA-directed', 'RNA', 'polymerase', 'activity')",33
"('COG', 'COG4570', 'Holliday', 'junction')",33
"('COG4570', 'Holliday', 'junction', 'resolvase')",32
"('phosphoenolpyruvate-dependent', 'sugar', 'phosphotransferase', 'system')",32
"('Hep', 'Hag', 'repeat', 'protein')",32
"('Host', 'cell', 'surface-exposed', 'lipoprotein')",32
"('Leucine', 'rich', 'repeat', 'protein')",31
"('The', 'AddB', 'nuclease', 'domain')",31
"('UvrD-like', 'helicase', 'C-terminal', 'domain')",31
"('Phage', 'derived', 'protein', 'Gp49-like')",31
"('DNA', 'circularisation', 'protein', 'N-terminus')",31
"('nicotinic', 'acid', 'adenine', 'dinucleotide')",31
"('damage', 'recognition', 'complex', 'composed')",31
"('secretion', 'phage', 'lysis', 'holin')",30
"('COG', 'NOG24969', 'non', 'supervised')",30
"('DNA-directed', 'RNA', 'polymerase', 'specialized')",30
"('polymerase', 'specialized', 'sigma', 'subunit')",30
"('NOG24969', 'non', 'supervised', 'orthologous')",30
"('DNA', 'polymerase', 'also', 'exhibits')",30
"('This', 'DNA', 'polymerase', 'also')",30
"('RNA', 'polymerase', 'specialized', 'sigma')",30
"('interspaced', 'short', 'palindromic', 'repeat')",28
"('target', 'invading', 'nucleic', 'acids')",28
"('regularly', 'interspaced', 'short', 'palindromic')",28
"('modification', 'methylase', 'DNA', 'replication')",28
"('Can', 'perform', 'chaperone', 'functions')",28
"('Putative', 'transposase', 'DNA-binding', 'domain')",28
"('DNA', 'modification', 'methylase', 'DNA')",28
"('RNA-directed', 'DNA', 'polymerase', 'activity')",28
"('toxin', 'secretion', 'phage', 'lysis')",28
"('clustered', 'regularly', 'interspaced', 'short')",28
"('COG', 'NOG25118', 'non', 'supervised')",27
"('RNA-DNA', 'hybrid', 'ribonuclease', 'activity')",27
"('Transcription', 'termination', 'factor', 'nusG')",27
"('COG0330', 'Membrane', 'protease', 'subunits')",27
"('Membrane', 'protease', 'subunits', 'stomatin')",27
"('NOG25118', 'non', 'supervised', 'orthologous')",27
"('protease', 'subunits', 'stomatin', 'prohibitin')",27
"('Putative', 'bacterial', 'toxin', 'ydaT')",27
"('Putative', 'peptidoglycan', 'binding', 'domain')",27
"('uvrB', 'subunits', 'scans', 'DNA')",27
"('Papain-like', 'cysteine', 'protease', 'AvrRpt2')",26
"('subunits', 'stomatin', 'prohibitin', 'homologs')",26
"('restriction', 'modification', 'DNA', 'specificity')",26
"('modification', 'DNA', 'specificity', 'domain')",26
"('error-prone', 'DNA', 'polymerase', 'involved')",26
"('dnaD_dom', 'DnaD', 'domain', 'protein')",26
"('trans-translation', 'Ala-', 'aminoacylated', 'tmRNA')",25
"('During', 'trans-translation', 'Ala-', 'aminoacylated')",25
"('short', 'internal', 'open', 'reading')",25
"('Ala-', 'aminoacylated', 'tmRNA', 'acts')",25
"('Recombinase', 'zinc', 'beta', 'ribbon')",25
"('zinc', 'beta', 'ribbon', 'domain')",25
"('internal', 'open', 'reading', 'frame')",25
"('aminoacylated', 'tmRNA', 'acts', 'like')",25
"('Sec', 'protein', 'translocase', 'complex')",25
"('SecYEG', 'preprotein', 'conducting', 'channel')",25
"('COG', 'NOG18823', 'non', 'supervised')",25
"('TIGRFAM', 'DNA', 'polymerase', 'III')",25
"('COG', 'NOG28949', 'non', 'supervised')",25
"('NOG28949', 'non', 'supervised', 'orthologous')",25
"('DNA', 'ligase', 'OB-like', 'domain')",25
"('NOG18823', 'non', 'supervised', 'orthologous')",25
"('bacterial', 'histone-like', 'protein', 'family')",24
"('rod', 'assembly', 'protein', 'muramidase')",24
"('Prokaryotic', 'dksA/traR', 'C4-type', 'zinc')",24
"('Flagellar', 'rod', 'assembly', 'protein')",24
"('dksA/traR', 'C4-type', 'zinc', 'finger')",24
"('assembly', 'protein', 'muramidase', 'FlgJ')",24
"('PFAM', 'Phosphate', 'acetyl', 'butaryl')",23
"('Phage', 'head', 'completion', 'protein')",23
"('Phosphate', 'acetyl', 'butaryl', 'transferase')",23
"('MATE', 'efflux', 'family', 'protein')",23
"('Spore', 'coat', 'associated', 'protein')",22
"('Phage', 'terminase', 'small', 'subunit')",22
"('DEAD', 'box', 'helicase', 'family')",22
"('NOG19595', 'non', 'supervised', 'orthologous')",22
"('Virulence', 'protein', 'RhuM', 'family')",22
"('Radical', 'SAM', 'domain', 'protein')",22
"('COG1595', 'DNA-directed', 'RNA', 'polymerase')",22
"('Phage', 'replisome', 'organizer', 'N-terminal')",22
"('COG', 'NOG19595', 'non', 'supervised')",22
"('class-II', 'aminoacyl-tRNA', 'synthetase', 'family')",21
"('NOG19076', 'non', 'supervised', 'orthologous')",21
"('Cell', 'wall', 'hydrolase', 'autolysin')",21
"('COG', 'NOG19076', 'non', 'supervised')",21
"('NOG18351', 'non', 'supervised', 'orthologous')",21
"('TIGRFAM', 'Anaerobic', 'ribonucleoside-triphosphate', 'reductase')",21
"('COG', 'NOG18351', 'non', 'supervised')",21
"('DNA-binding', 'transcription', 'factor', 'activity')",21
"('major', 'tail', 'tube', 'protein')",21
"('PFAM', 'Binding-protein-dependent', 'transport', 'system')",20
"('Bacterial', 'extracellular', 'solute-binding', 'protein')",20
"('FtsK', 'SpoIIIE', 'SftA', 'family')",20
"('ATPase', 'histidine', 'kinase', 'DNA')",20
"('PTS', 'HPr', 'component', 'phosphorylation')",20
"('histidine', 'kinase', 'DNA', 'gyrase')",20
"('COG0791', 'Cell', 'wall-associated', 'hydrolases')",20
"('COG', 'COG0791', 'Cell', 'wall-associated')",20
"('Phage', 'capsid', 'scaffolding', 'protein')",20
"('ABC-type', 'multidrug', 'transport', 'system')",20
"('viral', 'recombinase', 'family', 'protein')",20
"('COG', 'NOG08810', 'non', 'supervised')",20
"('NOG08810', 'non', 'supervised', 'orthologous')",20
"('Phage', 'major', 'tail', 'protein')",19
"('COG0745', 'Response', 'regulators', 'consisting')",19
"('The', 'overall', 'synthetic', 'reaction')",19
"('protein', 'tyrosine', 'kinase', 'activity')",19
"('ABC', 'transporter', 'transmembrane', 'region')",18
"('COG', 'NOG19098', 'non', 'supervised')",18
"('LexA', 'DNA', 'binding', 'domain')",18
"('wall', 'anchor', 'domain', 'protein')",18
"('cell', 'wall', 'anchor', 'domain')",18
"('Bacteriophage', 'holin', 'family', 'HP1')",18
"('contain', 'LysM', 'invasin', 'domains')",18
"('Soluble', 'lytic', 'murein', 'transglycosylase')",18
"('PFAM', 'cell', 'wall', 'hydrolase')",18
"('HPr', 'component', 'phosphorylation', 'site')",18
"('Bacteriophage', 'abortive', 'infection', 'AbiH')",18
"('cell', 'wall', 'hydrolase', 'autolysin')",18
"('tail', 'length', 'tape', 'measure')",18
"('NOG19098', 'non', 'supervised', 'orthologous')",18
"('PFAM', 'DNA', 'methylase', 'N-4')",17
"('Queuosine', 'biosynthesis', 'protein', 'QueC')",17
"('Tfp', 'pilus', 'assembly', 'protein')",17
"('Small', 'integral', 'membrane', 'protein')",17
"('COG5546', 'Small', 'integral', 'membrane')",17
"('RNA', 'polymerase', 'sigma-70', 'factor')",17
"('COG', 'NOG14445', 'non', 'supervised')",17
"('NOG14445', 'non', 'supervised', 'orthologous')",17
"('major', 'head', 'subunit', 'gpT')",17
"('prophage', 'major', 'head', 'subunit')",17
"('autotransporter', 'barrel', 'domain', 'protein')",17
"('arabinose', 'operon', 'control', 'protein')",17
"('Cadherin-like', 'beta', 'sandwich', 'domain')",17
"('RNA', 'M5U', 'methyltransferase', 'family')",17
"('growing', 'fatty', 'acid', 'chain')",17
"('COG0476', 'Dinucleotide-utilizing', 'enzymes', 'involved')",17
"('Mu-like', 'prophage', 'major', 'head')",17
"('PFAM', 'SMC', 'domain', 'protein')",17
"('outer', 'membrane', 'autotransporter', 'barrel')",17
"('Packaged', 'DNA', 'stabilization', 'protein')",17
"('membrane', 'autotransporter', 'barrel', 'domain')",17
"('pilus', 'assembly', 'protein', 'FimV')",17
"('DNA', 'methylase', 'N-4', 'N-6')",17
"('encoded', 'nuclease', 'repeat', 'motif')",16
"('mobilization', 'nuclease', 'domain', 'protein')",16
"('certain', 'DNA', 'recombination', 'reactions')",16
"('cleaves', 'DNA', 'hairpin', 'structures')",16
"('SbcCD', 'cleaves', 'DNA', 'hairpin')",16
"('Phage', 'baseplate', 'assembly', 'protein')",16
"('four-way', 'junction', 'helicase', 'activity')",16
"('Intron', 'encoded', 'nuclease', 'repeat')",16
"('tail', 'sheath', 'protein', 'beta-sandwich')",16
"('Hydrolase', 'Family', '25-like', 'lysozyme')",16
"('Glycoside', 'Hydrolase', 'Family', '25-like')",16
"('CRISPR', 'clusters', 'contain', 'spacers')",16
"('Family', '25-like', 'lysozyme', 'endolysin')",16
"('Relaxase', 'mobilization', 'nuclease', 'domain')",16
"('restriction', 'enzyme', 'res', 'subunit')",16
"('sheath', 'protein', 'beta-sandwich', 'domain')",16
"('DNA-binding', 'transcriptional', 'regulator', 'Cro')",16
"('III', 'restriction', 'enzyme', 'res')",16
"('ATP-driven', 'molecular', 'motor', 'driving')",15
"('Plasmid', 'maintenance', 'system', 'killer')",15
"('Histidine', 'kinase-', 'DNA', 'gyrase')",15
"('phage', 'terminase', 'small', 'subunit')",15
"('IMC', 'autoproteolytic', 'cleavage', 'domain')",15
"('leucine-', 'rich', 'repeat', 'protein')",15
"('single-strand', 'break', 'via', 'transesterification')",15
"('The', 'free', 'DNA', 'strand')",15
"('thus', 'removing', 'DNA', 'supercoils')",15
"('regulatory', 'CII', 'family', 'protein')",15
"('NOG16320', 'non', 'supervised', 'orthologous')",15
"('COG', 'NOG16320', 'non', 'supervised')",15
"('PFAM', 'Radical', 'SAM', 'domain')",15
"('phage', 'tail', 'completion', 'protein')",15
"('serine', 'threonine', 'protein', 'kinase')",14
"('Response', 'regulator', 'receiver', 'domain')",14
"('PFAM', 'Phage', 'XkdN-like', 'protein')",14
"('Bacteriophage', 'capsid', 'portal', 'protein')",14
"('PFAM', 'ATPase', 'family', 'associated')",14
"('COG', 'COG0745', 'Response', 'regulators')",14
"('PFAM', 'AIG2', 'family', 'protein')",14
"('COG', 'COG0629', 'Single-stranded', 'DNA-binding')",13
"('COG0629', 'Single-stranded', 'DNA-binding', 'protein')",13
"('Cell', 'wall', 'hydrolyses', 'involved')",13
"('COG', 'NOG20168', 'non', 'supervised')",13
"('NOG20168', 'non', 'supervised', 'orthologous')",13
"('COG3773', 'Cell', 'wall', 'hydrolyses')",13
"('Bacteriophage', 'lambda', 'Kil', 'protein')",13
"('Tellurite', 'resistance', 'protein', 'TerB')",13
"('KAP', 'family', 'P-loop', 'domain')",13
"('segregation', 'ATPase', 'FtsK', 'SpoIIIE')",13
"('Pectate', 'lyase', 'superfamily', 'protein')",13
"('DNA', 'segregation', 'ATPase', 'FtsK')",13
"('Conserved', 'hypothetical', 'protein', '2217')",13
"('clusters', 'contain', 'sequences', 'complementary')",12
"('alginic', 'acid', 'biosynthetic', 'process')",12
"('Right', 'handed', 'beta', 'helix')",12
"('Arc-like', 'DNA', 'binding', 'domain')",12
"('type', 'III', 'toxin-antitoxin', 'system')",12
"('handed', 'beta', 'helix', 'region')",12
"('maintenance', 'system', 'killer', 'protein')",12
"('CRISPR', 'clusters', 'contain', 'sequences')",12
"('D-isomer', 'specific', '2-hydroxyacid', 'dehydrogenase')",12
"('COG', 'COG5546', 'Small', 'integral')",12
"('Outer', 'membrane', 'protein', 'beta-barrel')",12
"('peptide', 'chain', 'termination', 'codons')",11
"('Peptide', 'chain', 'release', 'factor')",11
"('Prophage', 'CP4-57', 'regulatory', 'protein')",11
"('family', 'ligand', 'binding', 'region')",11
"('Receptor', 'family', 'ligand', 'binding')",11
"('The', 'HisH', 'subunit', 'provides')",11
"('tail', 'tube', 'protein', 'gp19')",11
"('Regulatory', 'phage', 'protein', 'cox')",11
"('replisome', 'organizer', 'N-terminal', 'domain')",11
"('double-strand', 'break', 'repair', 'via')",11
"('crossover', 'junction', 'endodeoxyribonuclease', 'activity')",11
"('Phage', 'conjugal', 'plasmid', 'C-4')",11
"(',23S', 'rRNA-intervening', 'sequence', 'protein')",11
"('conjugal', 'plasmid', 'C-4', 'type')",11
"('plasmid', 'C-4', 'type', 'zinc')",11
"('ribosomal', 'rna', 'small', 'subunit')",11
"('rna', 'small', 'subunit', 'methyltransferase')",11
"('C-4', 'type', 'zinc', 'finger')",11
"('glycyl-radical', 'enzyme', 'activating', 'activity')",11
"('PFAM', 'Bacterial', 'Ig-like', 'domain')",11
"('type', 'zinc', 'finger', 'protein')",11
"('IV-like', 'SAM-binding', 'methyltransferase', 'superfamily')",11
"('PFAM', 'Phage', 'integrase', 'family')",11
"('RNA', 'methyltransferase', 'TrmH', 'family')",11
"('phage', 'lysis', 'regulatory', 'protein')",11
"('The', 'KaiABC', 'complex', 'may')",11
"('KaiABC', 'complex', 'may', 'act')",11
"('NOG24226', 'non', 'supervised', 'orthologous')",11
"('KaiABC', 'clock', 'protein', 'complex')",11
"('COG', 'NOG24226', 'non', 'supervised')",11
"('virus', 'tail', 'tube', 'protein')",11
"('Phage', 'phiEco32-like', 'COOH.NH2', 'ligase-type')",11
"('COG0741', 'Soluble', 'lytic', 'murein')",11
"('Transglycosylase', 'SLT', 'domain', 'protein')",11
"('class', 'IV-like', 'SAM-binding', 'methyltransferase')",11
"('T4-like', 'virus', 'tail', 'tube')",11
"('NlpC', 'p60', 'family', 'protein')",11
"('pyrophosphate-requiring', 'enzymes', 'acetolactate', 'synthase')",10
"('NAD', 'dependent', 'epimerase', 'dehydratase')",10
"('Thiamine', 'pyrophosphate-requiring', 'enzymes', 'acetolactate')",10
"('two-component', 'regulatory', 'system', 'DpiA')",10
"('COG0028', 'Thiamine', 'pyrophosphate-requiring', 'enzymes')",10
"('NOG06285', 'non', 'supervised', 'orthologous')",10
"('T4-like', 'capsid', 'assembly', 'protein')",10
"('repair', 'via', 'homologous', 'recombination')",10
"('bifunctional', 'polynucleotide', 'phosphatase', 'kinase')",10
"('COG', 'COG0028', 'Thiamine', 'pyrophosphate-requiring')",10
"('corresponding', 'free', 'purine', 'bases')",10
"('purine', 'nucleoside', 'phosphorylases', 'catalyze')",10
"('The', 'purine', 'nucleoside', 'phosphorylases')",10
"('regulatory', 'system', 'DpiA', 'DpiB')",10
"('class-I', 'aminoacyl-tRNA', 'synthetase', 'family')",10
"('proline', 'imidic', 'peptide', 'bonds')",10
"('Bacteriophage', 'T4-like', 'capsid', 'assembly')",10
"('NOG08812', 'non', 'supervised', 'orthologous')",10
"('COG', 'NOG06285', 'non', 'supervised')",10
"('organizer', 'N-terminal', 'domain', 'protein')",10
"('Recombinational', 'DNA', 'repair', 'protein')",10
"('LysR', 'substrate', 'binding', 'domain')",10
"('protein,4Fe-4S', 'iron', 'sulfur', 'cluster')",10
"('system', 'CASCADE', 'complex', 'protein')",10
"('CRISPR', 'system', 'CASCADE', 'complex')",10
"('gp32', 'DNA', 'binding', 'protein')",10
"('DNA', 'binding', 'protein', 'like')",10
"('Putative', 'cell', 'wall', 'binding')",10
"('DNA', 'stabilization', 'protein', 'gp4')",10
"('COG', 'NOG08812', 'non', 'supervised')",10
"('Regulates', 'intracellular', 'CTP', 'levels')",10
"('conserved', 'amino', 'acid', 'motif')",10
"('Also', 'exhibits', 'THF-', 'independent')",10
"('dependent', 'epimerase', 'dehydratase', 'family')",10
"('Cobalamin', 'biosynthesis', 'protein', 'CobT')",10
"('COG', 'COG5295', 'Autotransporter', 'adhesin')",10
"('homoserine', 'transmembrane', 'transporter', 'activity')",10
"('phage', 'abortive', 'infection', 'protein')",10
"('aldolase', 'activity', 'toward', 'beta-hydroxyamino')",10
"('exhibits', 'THF-', 'independent', 'aldolase')",10
"('THF-', 'independent', 'aldolase', 'activity')",10
"('independent', 'aldolase', 'activity', 'toward')",10
"('biosynthesis', 'protein', 'CobT', 'VWA')",10
"('Putative', 'phage', 'abortive', 'infection')",10
"('activity', 'toward', 'beta-hydroxyamino', 'acids')",10
"('protein', 'CobT', 'VWA', 'domain')",10
"('recA', 'bacterial', 'DNA', 'recombination')",10
"('bacterial', 'DNA', 'recombination', 'protein')",10
"('break', 'repair', 'via', 'homologous')",10
"('crossover', 'junction', 'endodeoxyribonuclease', 'RusA')",10
"('NOG28280', 'non', 'supervised', 'orthologous')",10
"('COG', 'NOG28280', 'non', 'supervised')",10
"('NAD-dependent', 'DNA', 'ligase', 'adenylation')",10
"('DNA', 'ligase', 'adenylation', 'domain')",10
"('stage', 'III', 'sporulation', 'protein')",10
"('specific', 'energy-', 'requiring', 'processes')",9
"('Transcriptional', 'regulator', 'PadR-like', 'family')",9
"('regulator', 'receiver', 'domain', 'protein')",9
"('Phe', 'Val', 'dehydrogenases', 'family')",9
