trigram,freq
"('Single-stranded', 'DNA-binding', 'protein')",262
"('prohead', 'serine', 'protease')",261
"('gp6-like', 'head-tail', 'connector')",260
"('Prophage', 'endopeptidase', 'tail')",259
"('head-tail', 'connector', 'protein')",259
"('Phage', 'gp6-like', 'head-tail')",258
"('nucleic', 'acid', 'binding')",239
"('adenine-specific', 'DNA', 'methyltransferase')",237
"('Phage', 'plasmid', 'primase')",236
"('Glycosyl', 'hydrolases', 'family')",228
"('Minor', 'capsid', 'protein')",227
"('transcription', 'factor', 'activity')",225
"('Bacterial', 'regulatory', 'proteins')",223
"('Baseplate', 'assembly', 'protein')",219
"('assembly', 'chaperone', 'protein')",213
"('polymerase', 'III', 'alpha')",209
"('Phage', 'regulatory', 'protein')",209
"('III', 'alpha', 'subunit')",208
"('structural', 'protein', 'GP20')",206
"('Uncharacterised', 'protein', 'conserved')",205
"('binding', 'transcription', 'factor')",204
"('DNA', 'binding', 'transcription')",204
"('N-terminal', 'SAM-like', 'domain')",197
"('Phage', 'prohead', 'protease')",196
"('Phage', 'antirepressor', 'protein')",195
"('anaerobic', 'ribonucleoside-triphosphate', 'reductase')",195
"('sheath', 'C-terminal', 'domain')",193
"('DNA', 'polymerase', 'exhibits')",193
"('polymerase', 'exhibits', ""5'-3"")",193
"('tail', 'sheath', 'C-terminal')",193
"('sigma', 'factor', 'activity')",191
"('Cell', 'Wall', 'Hydrolase')",190
"('DNA', 'encapsidation', 'protein')",189
"('peptidoglycan', 'catabolic', 'process')",188
"('Podovirus', 'DNA', 'encapsidation')",188
"('Phage', 'tail', 'assembly')",187
"('major', 'tail', 'protein')",182
"('Type', 'III', 'restriction')",181
"('polypeptide', 'exit', 'tunnel')",181
"('The', 'globular', 'domain')",181
"('peptidase', 'S14', 'family')",179
"('lytic', 'transglycosylase', 'activity')",179
"('tail-collar', 'fibre', 'protein')",177
"('Phage', 'tail-collar', 'fibre')",176
"('family', 'N-terminal', 'domain')",171
"('IstB-like', 'ATP', 'binding')",171
"('ATP', 'binding', 'protein')",171
"('SNF2', 'family', 'N-terminal')",171
"('Phage', 'holin', 'family')",170
"('YqaJ', 'viral', 'recombinase')",169
"('four-way', 'DNA', 'junctions')",168
"('introduces', 'symmetrical', 'nicks')",168
"('junction', 'intermediates', 'made')",168
"('homologous', 'genetic', 'recombination')",168
"('phage', 'major', 'tail')",167
"('viral', 'recombinase', 'family')",166
"('eventually', 'DNA', 'repair')",166
"('Psort', 'location', 'OuterMembrane')",165
"('introducing', 'symmetrical', 'nicks')",165
"('mobile', 'four-strand', 'junctions')",165
"('Cleaves', 'mobile', 'four-strand')",165
"('Gp49/phage', 'Sf6', 'gene')",164
"('COG', 'NOG18825', 'non')",162
"('NOG18825', 'non', 'supervised')",162
"('DNA', 'repair', 'associated')",157
"('CHC2', 'zinc', 'finger')",156
"('DNA-binding', 'helix-turn-helix', 'protein')",156
"('Terminase', 'RNaseH-like', 'domain')",156
"('holin', 'family', 'Hol44')",155
"('Putative', 'binding', 'domain')",152
"('SAM', 'domain', 'protein')",148
"('IrrE', 'N-terminal-like', 'domain')",147
"('Siphovirus', 'ReqiPepy6', 'Gp37-like')",147
"('ReqiPepy6', 'Gp37-like', 'protein')",147
"('C-terminal', 'domain', 'protein')",146
"('various', 'cellular', 'activities')",145
"('DNA', 'primase', 'activity')",144
"('COG3500', 'Phage', 'protein')",144
"('RNA-', 'DNA', 'hybrids')",142
"('XkdN-like', 'tail', 'assembly')",140
"('Phage', 'XkdN-like', 'tail')",140
"('III', 'restriction', 'enzyme')",139
"('NLP', 'P60', 'protein')",139
"('Helicase', 'conserved', 'C-terminal')",137
"('N-6', 'DNA', 'Methylase')",135
"('viral', 'recombinase', 'domain')",135
"('conserved', 'C-terminal', 'domain')",134
"('YqaJ-like', 'viral', 'recombinase')",134
"('DEAD-like', 'helicases', 'superfamily')",132
"('regulatory', 'protein', 'Rha')",131
"('head-tail', 'joining', 'protein')",130
"('Phage', 'head-tail', 'joining')",128
"('Bacterial', 'dnaA', 'protein')",127
"('Bacterial', 'DNA', 'polymerase')",126
"('radical', 'SAM', 'domain')",126
"('GPW', 'Gp25', 'family')",124
"('MazG', 'nucleotide', 'pyrophosphohydrolase')",124
"('Chi-altered', 'holoenzyme', 'produces')",123
"('augments', 'holoenzyme', 'processivity')",123
"('prepares', 'dsDNA', 'breaks')",123
"('stimulates', 'nuclease', 'activity')",123
"('greatly', 'stimulates', 'nuclease')",123
"('RecBC', 'greatly', 'stimulates')",123
"('pre-assembled', 'RecBC', 'greatly')",123
"('undergo', 'homologous', 'recombination')",123
"('recombinational', 'DNA', 'repair')",123
"('The', 'Chi-altered', 'holoenzyme')",123
"('ATPase', 'family', 'associated')",123
"('homologous', 'DNA', 'recombination')",123
"('unwinds', 'DNA', 'via')",123
"('Gp25', 'family', 'protein')",123
"('Putative', 'phage', 'holin')",123
"('long', ""3'-ssDNA"", 'overhang')",123
"('processive', 'ATP-dependent', 'bidirectional')",123
"('ATP-dependent', 'bidirectional', 'helicase')",123
"('bidirectional', 'helicase', 'activity')",123
"('crossover', 'hotspot', 'instigator')",123
"('phage', 'minor', 'capsid')",123
"('COG', 'NOG36366', 'non')",122
"('NOG36366', 'non', 'supervised')",122
"('organic', 'free', 'radical')",120
"('Late', 'control', 'gene')",116
"('IS605', 'OrfB', 'family')",116
"('measure', 'protein', 'TP901')",115
"('PFAM', 'Phage', 'tail')",115
"('nucleotide', 'pyrophosphohydrolase', 'domain')",111
"('assembly', 'chaperone', 'proteins')",110
"('COG3497', 'Phage', 'tail')",109
"('Arm', 'DNA-binding', 'domain')",109
"('SPP1', 'gp7', 'family')",108
"('multichain', 'enzyme', 'responsible')",108
"('tube', 'protein', 'FII')",107
"('phage', 'major', 'capsid')",106
"('Phage', 'Tail', 'Protein')",106
"('phage', 'holin', 'Dp-1')",105
"('Phage', 'late', 'control')",105
"('late', 'control', 'gene')",105
"('head', 'morphogenesis', 'protein')",105
"('GIY-YIG', 'type', 'nucleases')",102
"('COG', 'COG3344', 'Retron-type')",101
"('double-strand', 'break', 'repair')",101
"('COG3344', 'Retron-type', 'reverse')",101
"('phosphoesterase', 'superfamily', 'domain')",100
"('Calcineurin-like', 'phosphoesterase', 'superfamily')",100
"('Retron-type', 'reverse', 'transcriptase')",100
"('biosynthesis', 'protein', 'BcsQ')",100
"('DNA', 'helicase', 'activity')",100
"('Cellulose', 'biosynthesis', 'protein')",100
"('repressor', 'helix-turn-helix', 'domain')",99
"('DNA', 'using', 'NAD')",99
"('homologous', 'single-stranded', 'DNAs')",99
"('endonuclease', 'domain', 'protein')",99
"('double-stranded', 'DNA', 'using')",99
"('DNA', 'invertase', 'Pin')",98
"('HNH', 'endonuclease', 'domain')",98
"('family', 'domain', 'protein')",97
"('invertase', 'Pin', 'homologs')",96
"('LAGLIDADG', 'DNA', 'endonuclease')",96
"('Transglycosylase', 'SLT', 'domain')",95
"('DNA', 'endonuclease', 'family')",94
"('DNA-packaging', 'protein', 'gp3')",94
"('extreme', 'environmental', 'conditions')",93
"('bacterial', 'toxin-antitoxin', 'system')",93
"('Histone-like', 'DNA-binding', 'protein')",93
"('Uncharacterized', 'conserved', 'protein')",93
"('N-acetylmuramoyl-L-alanine', 'amidase', 'activity')",92
"('ATP-independent', 'manner', 'freely')",92
"('tail', 'connecting', 'protein')",92
"('sigma-70', 'factor', 'family')",92
"('DNA', 'replication', 'proofreading')",92
"('Confers', 'DNA', 'tethering')",92
"('ring', 'around', 'DNA')",92
"('bidirectionally', 'along', 'dsDNA')",92
"('RNA', 'polymerase', 'activity')",92
"('Putative', 'HNHc', 'nuclease')",92
"('break', 'repair', 'protein')",91
"('Bacteriophage', 'Lambda', 'NinG')",91
"('Lambda', 'NinG', 'protein')",91
"('triple', 'helix', 'repeat')",90
"('Collagen', 'triple', 'helix')",90
"('N-terminal', 'domain', 'protein')",89
"('Phage', 'integrase', 'SAM-like')",88
"('ATP-dependent', 'DNA', 'helicase')",87
"('integrase', 'SAM-like', 'domain')",87
"('Phage', 'virion', 'morphogenesis')",85
"('DNA', 'polymerase', 'family')",84
"('Anaerobic', 'ribonucleoside-triphosphate', 'reductase')",83
"('helicase', 'superfamily', 'c-terminal')",83
"('superfamily', 'c-terminal', 'domain')",82
"('antirepressor', 'protein', 'KilAC')",82
"('PFAM', 'Integrase', 'catalytic')",82
"('Predicted', 'Peptidoglycan', 'domain')",82
"('DNA-dependent', 'DNA', 'replication')",82
"('Helicase', 'C-terminal', 'domain')",81
"('DNA-dependent', 'ATPase', 'activity')",81
"('protein', 'KilAC', 'domain')",81
"('phage', 'portal', 'protein')",80
"('PFAM', 'Phage', 'late')",80
"('COG', 'COG2826', 'Transposase')",80
"('baseplate', 'J-like', 'protein')",80
"('PFAM', 'single-strand', 'binding')",79
"('Sm-like', 'SH3', 'beta-barrel')",79
"('SH3', 'beta-barrel', 'fold')",79
"('single-strand', 'binding', 'protein')",79
"('COG1961', 'Site-specific', 'recombinases')",78
"('Terminase', 'RNAseH', 'like')",77
"('RNAseH', 'like', 'domain')",77
"('calcium', 'ion', 'binding')",77
"('Integrase', 'catalytic', 'region')",76
"('UDP-3-O-acylglucosamine', 'using', '3-hydroxyacyl-ACP')",76
"('DNA', 'restriction-modification', 'system')",76
"('DNA', 'polymerase', 'activity')",75
"('Gam', 'like', 'protein')",74
"('Psort', 'location', 'Extracellular')",74
"('Prophage', 'minor', 'tail')",74
"('Rhs', 'element', 'vgr')",71
"('element', 'vgr', 'protein')",69
"('ATP-dependent', 'serine', 'protease')",68
"('PHB', 'domain', 'protein')",68
"('revised', 'gene', 'model')",68
"('current', 'gene', 'model')",68
"('modulate', 'DNA', 'topology')",67
"('involve', 'strand', 'separation')",67
"('supercoiling', 'favors', 'strand')",67
"('supercoils', 'closed', 'circular')",67
"('Mu-like', 'prophage', 'protein')",67
"('favors', 'strand', 'separation')",67
"('negatively', 'supercoils', 'closed')",67
"('DNA', 'strands', 'simultaneously')",67
"('Negative', 'supercoiling', 'favors')",67
"('nucleotide', 'binding', 'domain')",67
"('closed', 'circular', 'double-stranded')",67
"('PFAM', 'C-5', 'cytosine-specific')",66
"('TIGRFAM', 'phage-associated', 'protein')",65
"('CobQ', 'CobB', 'MinD')",65
"('CobB', 'MinD', 'ParA')",65
"('MinD', 'ParA', 'nucleotide')",65
"('ParA', 'nucleotide', 'binding')",65
"('Chromatin', 'associated', 'protein')",64
"('phage', 'serine', 'protease')",64
"('tRNA-splicing', 'ligase', 'RtcB')",64
"('Phage', 'protein', 'Gp19/Gp15/Gp42')",64
"('DNA-directed', 'RNA', 'polymerase')",64
"('Phage', 'uncharacterised', 'protein')",64
"('DNA', 'binding', 'domain')",64
"('specific', 'initiation', 'sites')",63
"('associated', 'protein', 'KTI12')",63
"('Putative', 'phage', 'serine')",63
"('serine', 'protease', 'XkdF')",63
"('unknown', 'function', 'DUF262')",63
"('deaminase', 'zinc-binding', 'region')",62
"('deoxycytidylate', 'deaminase', 'zinc-binding')",62
"('Hydantoinase/oxoprolinase', 'N-terminal', 'region')",61
"('Bacterial', 'Ig-like', 'domain')",61
"('thiamine', 'biosynthesis', 'family')",61
"('phage', 'plasmid-related', 'protein')",61
"('single', 'cluster', 'domain')",61
"('COG', 'NOG32858', 'non')",61
"('Phage', 'minor', 'tail')",61
"('NOG32858', 'non', 'supervised')",61
"('Phage', 'Tail', 'Collar')",61
"('Tail', 'Collar', 'Domain')",61
"('TIGRFAM', 'phage', 'plasmid-related')",61
"('COG', 'NOG23522', 'non')",61
"('NOG23522', 'non', 'supervised')",61
"('plasmid-related', 'protein', 'TIGR03299')",60
"('distinct', 'active', 'sites')",60
"('helix-turn-helix', 'domain', 'protein')",60
"('exhibits', 'DNA-dependent', 'ATPase')",60
"('contains', 'distinct', 'active')",60
"('molecular', 'chaperone', 'homology')",59
"('PFAM', 'HNH', 'endonuclease')",59
"('phage', 'RecT', 'family')",59
"('DnaJ', 'molecular', 'chaperone')",59
"('chaperone', 'homology', 'domain')",59
"('protein', 'subtilisin-like', 'domain')",59
"('sheath', 'protein', 'subtilisin-like')",59
"('Uncharacterised', 'protein', 'family')",59
"('DNA', 'replication', 'protein')",59
"('serine-type', 'endopeptidase', 'activity')",58
"('Metal', 'dependent', 'phosphohydrolases')",58
"('COG', 'COG1961', 'Site-specific')",58
"('translation', 'initiation', 'factor')",57
"('N-terminal', 'phage', 'replisome')",56
"('Cysteine', 'protease', 'Prp')",56
"('binding', 'domain', 'protein')",56
"('phage', 'replisome', 'organiser')",56
"('This', 'enzymatic', 'reaction')",55
"('initiation', 'factor', 'activity')",55
"('Toprim', 'domain', 'protein')",55
"('enzymatic', 'reaction', 'provides')",55
"('protein', 'disulfide', 'oxidoreductase')",55
"('sulfur', 'cluster', 'binding')",55
"('HK97', 'gp10', 'family')",54
"('short', 'RNA', 'molecules')",54
"('stress-induced', 'mitochondrial', 'fusion')",54
"('disulfide', 'oxidoreductase', 'activity')",54
"('rRNA-intervening', 'sequence', 'protein')",54
"('RNA', 'molecules', 'used')",54
"('inner', 'membrane', 'component')",53
"('Head', 'fiber', 'protein')",52
"('Psort', 'location', 'Cellwall')",52
"('dephospho-CoA', 'kinase', 'activity')",52
"('Phage', 'terminase-like', 'protein')",52
"('intein-mediated', 'protein', 'splicing')",52
"('Phage', 'head', 'morphogenesis')",52
"('Terminase', 'large', 'subunit')",52
"('Mor', 'transcription', 'activator')",52
"('UMP', 'catabolic', 'process')",52
"('COG3209', 'Rhs', 'family')",51
"('Phage', 'replisome', 'organizer')",51
"('Rhs', 'family', 'protein')",50
"('cell', 'wall', 'binding')",50
"('SPP1', 'phage', 'holin')",50
"('system', 'inner', 'membrane')",50
"('transport', 'system', 'inner')",50
"('prophage', 'protein', 'gp29')",50
"('Binding-protein-dependent', 'transport', 'system')",50
"('P22', 'coat', 'protein-protein')",50
"('protein', 'Primosomal', 'replication')",49
"('DNA-directed', 'DNA', 'polymerase')",49
"('wall', 'binding', 'repeat')",49
"('Primosomal', 'replication', 'protein')",49
"('Manganese', 'containing', 'catalase')",49
"('binding', 'protein', 'Primosomal')",49
"('phage', 'Terminase', 'large')",49
"('heterocyclic', 'radical-mediated', 'conversion')",49
"('complex', 'heterocyclic', 'radical-mediated')",49
"('Guanylate', 'kinase', 'homologues.')",49
"('Serine', 'dehydrogenase', 'proteinase')",49
"('catalytic', 'beta', 'chain')",48
"('reductase', 'catalytic', 'beta')",48
"('thioredoxin', 'reductase', 'catalytic')",48
"('lysozyme', 'C-terminal', 'domain')",48
"('dnaA', 'protein', 'helix-turn-helix')",48
"('Cpl-7', 'lysozyme', 'C-terminal')",48
"('Ferredoxin', 'thioredoxin', 'reductase')",48
"('PFAM', 'Uncharacterised', 'protein')",48
"('outer', 'membrane', 'protein')",48
"('Conserved', 'phage', 'C-terminus')",48
"('terminase', 'small', 'subunit')",48
"('alleviation', 'protein', 'Lar')",47
"('Restriction', 'alleviation', 'protein')",47
"('ribonucleoside-triphosphate', 'reductase', 'activating')",47
"('PFAM', 'Formylglycine-generating', 'sulfatase')",47
"('COG', 'COG3757', 'Lyzozyme')",46
"('lactis', 'phage', 'r1t')",46
"('phage', 'r1t', 'holin')",46
"('reductase', 'activating', 'protein')",46
"('Formylglycine-generating', 'sulfatase', 'enzyme')",46
"('rich', 'repeat', 'protein')",46
"('Putative', 'lactococcus', 'lactis')",46
"('Sulfatase-modifying', 'factor', 'enzyme')",46
"('phage', 'tail', 'protein')",46
"('lactococcus', 'lactis', 'phage')",46
"('Mazg', 'nucleotide', 'pyrophosphohydrolase')",45
"('protein', 'large', 'subunit')",45
"('branched', 'DNA', 'structures')",45
"('Cell', 'wall', 'hydrolase')",45
"('Excises', 'uracil', 'residues')",45
"('terminase-like', 'protein', 'large')",45
"('TonB-linked', 'outer', 'membrane')",45
"('SusC', 'RagA', 'family')",45
"('module', 'antidote', 'protein')",44
"('cluster', 'binding', 'proteins')",44
"('protein', 'family', 'UPF0150')",44
"('Glycosyl', 'hydrolase', 'family')",44
"('iron', 'sulfur', 'cluster')",44
"('Initiator', 'Replication', 'protein')",44
"('polymerase', 'elongation', 'subunit')",43
"('DNA', 'polymerase', 'elongation')",43
"('Holliday', 'junction', 'resolvase')",43
"('addiction', 'module', 'antidote')",43
"('PFAM', 'Manganese', 'containing')",42
"('protein', 'res', 'subunit')",42
"('recombination', 'protein', 'Bet')",42
"('P22', 'coat', 'protein')",42
"('III', 'restriction', 'protein')",42
"('Phage', 'recombination', 'protein')",42
"('lambda', 'head', 'decoration')",42
"('Bacteriophage', 'lambda', 'head')",42
"('COG', 'COG1783', 'Phage')",42
"('restriction', 'protein', 'res')",42
"('COG1783', 'Phage', 'terminase')",42
"('head', 'decoration', 'protein')",42
"('DNA', 'photolyase', 'activity')",41
"('Putative', 'ATPase', 'subunit')",41
"('baseplate', 'assembly', 'protein')",41
"('polymerase', 'head', 'domain')",41
"('ATP-binding', 'sugar', 'transporter')",41
"('Theta', 'Gene', 'description')",41
"('AAA', 'ATPase', 'domain')",40
"('sites', 'symmetrically', 'opposed')",40
"('Glycosyl', 'hydrolase', '108')",39
"('Putative', 'amidoligase', 'enzyme')",39
"(""3'-terminal"", 'hydroxyl', 'group')",39
"('FluMu', 'protein', 'gp28')",39
"('prophage', 'FluMu', 'protein')",39
"('repairing', 'DNA', 'breaks')",39
"('DNA-dependent', 'ATPase', 'involved')",39
"('RecA-mediated', 'strand', 'transfer')",39
"('strand', 'transfer', 'reactions')",39
"('extend', 'heteroduplex', 'DNA')",39
"('Mu-like', 'prophage', 'FluMu')",39
"('heteroduplex', 'DNA', 'faster')",39
"('various', 'branched', 'DNA')",39
"('RNA', 'dependent', 'RNA')",39
"('wall', 'hydrolase', 'autolysin')",39
"('Putative', 'phage', 'tail')",39
"('putative', 'AbiEii', 'toxin')",38
"('lipolytic', 'protein', 'G-D-S-L')",38
"('S-layer', 'homology', 'domain')",38
"('Bacteriophage', 'replication', 'protein')",38
"('protein', 'G-D-S-L', 'family')",38
"('dependent', 'RNA', 'polymerase')",38
"('PFAM', 'helix-turn-helix', 'domain')",37
"('repair', 'system', 'catalyzes')",37
"('UvrABC', 'repair', 'system')",37
"('The', 'UvrABC', 'repair')",37
"('virion', 'morphogenesis', 'family')",37
"('antidote', 'protein', 'HigA')",37
"('helicase', 'C-terminal', 'domain')",37
"('cysteine-type', 'peptidase', 'activity')",37
"('Bacteriophage', 'CII', 'protein')",36
"('NOG12663', 'non', 'supervised')",36
"('enzyme', 'HsdR', 'protein')",36
"('restriction', 'enzyme', 'HsdR')",36
"('COG', 'NOG12663', 'non')",36
"('Purple', 'acid', 'Phosphatase')",35
"('elemental', 'sulfur', 'atoms')",35
"('family', 'cysteine', 'protease')",35
"('Bacteriophage', 'peptidoglycan', 'hydrolase')",35
"('Papain', 'family', 'cysteine')",35
"('DNA-dependent', 'RNA', 'polymerase')",35
"('RNA', 'polymerase', 'catalyzes')",35
"('four', 'ribonucleoside', 'triphosphates')",35
"('cell', 'surface-exposed', 'lipoprotein')",34
"('synthesis', 'onto', 'IscU')",34
"('scaffold', 'assembly', 'protein')",34
"('cluster', 'synthesis', 'onto')",34
"('Fe-S', 'cluster', 'synthesis')",34
"('sulfur', 'delivery', 'protein')",34
"('Fe-S', 'cluster', 'assembly')",34
"('Gene', '25-like', 'lysozyme')",34
"('stalled', 'replication', 'forks')",34
"('Fe-S', 'scaffold', 'assembly')",34
"('tail', 'fibre', 'assembly')",34
"('P-loop', 'containing', 'region')",34
"('Caudovirales', 'tail', 'fibre')",34
"('Peptidase', 'family', 'M23')",34
"('transcription', 'activator', 'family')",34
"('fibre', 'assembly', 'protein')",33
"('tRNA', ""5'-leader"", 'removal')",33
"('Leucine', 'rich', 'repeat')",33
"('Hep', 'Hag', 'repeat')",33
"('sugar', 'phosphotransferase', 'system')",33
"('COG', 'COG4570', 'Holliday')",33
"('histone', 'like', 'domain')",33
"('COG4570', 'Holliday', 'junction')",33
"('Phage', 'antitermination', 'protein')",33
"('P22_AR', 'N-terminal', 'domain')",33
"('phosphoenolpyruvate-dependent', 'sugar', 'phosphotransferase')",32
"('DNA', 'circularisation', 'protein')",32
"('Host', 'cell', 'surface-exposed')",32
"('Polysaccharide', 'biosynthesis', 'protein')",32
"('Integrase', 'core', 'domain')",32
"('GDSL-like', 'Lipase/Acylhydrolase', 'family')",32
"('Hag', 'repeat', 'protein')",32
"('nicotinic', 'acid', 'adenine')",31
"('aminoacyl-tRNA', 'synthetase', 'family')",31
"('UvrD-like', 'helicase', 'C-terminal')",31
"('Phage', 'derived', 'protein')",31
"('derived', 'protein', 'Gp49-like')",31
"('circularisation', 'protein', 'N-terminus')",31
"('chi', 'fragment', 'generation')",31
"('The', 'heterodimer', 'acts')",31
"('DNA', 'molecule', 'suitable')",31
"('chi', 'site', 'generating')",31
"('ribonucleoside-diphosphate', 'reductase', 'activity')",31
"('Gram-positive', 'type', 'K03763')",31
"('subunits', 'scans', 'DNA')",31
"('acid', 'adenine', 'dinucleotide')",31
"('The', 'AddB', 'nuclease')",31
"('recognition', 'complex', 'composed')",31
"('damage', 'recognition', 'complex')",31
"('insertion', 'element', 'transposase')",31
"('AddB', 'nuclease', 'domain')",31
"('dual-direction', 'single-stranded', 'exonuclease')",31
"('unfolded', 'polypeptides', 'generated')",30
"('This', 'DNA', 'polymerase')",30
"('Single-stranded-DNA-specific', 'exonuclease', 'RecJ')",30
"('DNA', 'polymerase', 'involved')",30
"('Short', 'C-terminal', 'domain')",30
"('single-stranded', 'DNA', 'binding')",30
"('polymerase', 'also', 'exhibits')",30
"('spindle', 'dynamics', 'together')",30
"('secretion', 'phage', 'lysis')",30
"('phage', 'lysis', 'holin')",30
"('COG', 'NOG24969', 'non')",30
"('specialized', 'sigma', 'subunit')",30
"('polymerase', 'specialized', 'sigma')",30
"('holin', 'superfamily', 'III')",30
"('NOG24969', 'non', 'supervised')",30
"('RNA-directed', 'DNA', 'polymerase')",30
"('DNA', 'polymerase', 'also')",30
"('RNA', 'polymerase', 'specialized')",30
"('LydA', 'holin', 'phage')",29
"('LytTr', 'DNA-binding', 'domain')",29
"('sh3', 'domain', 'protein')",29
"('adaptive', 'immune', 'system')",28
"('target', 'invading', 'nucleic')",28
"('mobile', 'genetic', 'elements')",28
"('transposase', 'DNA-binding', 'domain')",28
"('CRISPR', 'clusters', 'contain')",28
"('Putative', 'transposase', 'DNA-binding')",28
"('short', 'palindromic', 'repeat')",28
"('interspaced', 'short', 'palindromic')",28
"('invading', 'nucleic', 'acids')",28
"('antecedent', 'mobile', 'elements')",28
"('clustered', 'regularly', 'interspaced')",28
"('central', 'regulatory', 'role')",28
"('effector', 'pathway', 'responsible')",28
"('regularly', 'interspaced', 'short')",28
"('Peptidase', 'family', 'S49')",28
"('Spo0A', 'may', 'act')",28
"('DNA', 'gyrase', 'topoisomerase')",28
"('DNA', 'modification', 'methylase')",28
"('carbon-nitrogen', 'ligase', 'activity')",28
"('open', 'reading', 'frame')",28
"('DNA', 'precursor', 'synthesis')",28
"('ATP-dependent', 'specificity', 'component')",28
"('toxin', 'secretion', 'phage')",28
"('methylase', 'DNA', 'replication')",28
"('modification', 'methylase', 'DNA')",28
"('response', 'regulator', 'receiver')",28
"('Can', 'perform', 'chaperone')",28
"('perform', 'chaperone', 'functions')",28
"('efflux', 'family', 'protein')",28
"('Transcription', 'termination', 'factor')",28
"('COG0330', 'Membrane', 'protease')",27
"('Membrane', 'protease', 'subunits')",27
"('hybrid', 'ribonuclease', 'activity')",27
"('protease', 'subunits', 'stomatin')",27
"('generate', 'ADP-', 'ribose')",27
"('termination', 'factor', 'nusG')",27
"('bacterial', 'toxin', 'ydaT')",27
"('first', 'committed', 'step')",27
"('Putative', 'bacterial', 'toxin')",27
"('peptidoglycan', 'binding', 'domain')",27
"('subunits', 'stomatin', 'prohibitin')",27
"('Putative', 'peptidoglycan', 'binding')",27
"('NOG25118', 'non', 'supervised')",27
"('COG', 'NOG25118', 'non')",27
"('Outer', 'membrane', 'protein')",27
"('purine', 'nucleotide', 'biosynthesis')",27
"('RNA-DNA', 'hybrid', 'ribonuclease')",27
"('FtsX-like', 'permease', 'family')",27
"('Bacterial', 'DNA-binding', 'protein')",27
"('central', 'metabolite', 'phospho-alpha-D-ribosyl-1-pyrophosphate')",27
"('protein', 'tyrosine', 'kinase')",27
"('uvrA', 'molecules', 'dissociate')",27
"('uvrB', 'subunits', 'scans')",27
"('Phage', 'head-tail', 'adaptor')",27
"('dnaD_dom', 'DnaD', 'domain')",26
"('restriction', 'modification', 'DNA')",26
"('modification', 'DNA', 'specificity')",26
"('These', 'misaligned', 'primers')",26
"('DNA', 'specificity', 'domain')",26
"('misaligned', 'primer', 'ends')",26
"('GpU', 'family', 'protein')",26
"('error-prone', 'DNA', 'polymerase')",26
"('Copies', 'undamaged', 'DNA')",26
"('cysteine', 'protease', 'AvrRpt2')",26
"('Papain-like', 'cysteine', 'protease')",26
"('requires', 'ATP', 'hydrolysis')",26
"('TIGRFAM', 'DNA', 'polymerase')",26
"('crossover', 'junction', 'endodeoxyribonuclease')",26
"('Phage', 'major', 'tail')",26
"('stomatin', 'prohibitin', 'homologs')",26
"('PerC', 'transcriptional', 'activator')",26
"('internal', 'open', 'reading')",25
